set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22;
set K:= 1 2 3 4 5 6 7 8;
param V:= 8;
param cp:= 40;
param dm:= 2.0;
param o:=
0 0
1 7
2 30
3 16
4 23
5 11
6 19
7 15
8 28
9 8
10 8
11 7
12 14
13 6
14 19
15 11
16 12
17 26
18 17
19 6
20 15
21 5
22 10
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22:=
0 0 3 8 12 16 10 4 8 11554 14 18 13 16 10471 14 8097 5 11193 14 17 7 722 19 
1 3 0 3 4219 3 7 5 4 7222 7 2 4 18 5 7 6 1 7 11 6883 5 3 5 
2 8 3 0 4 6143 5 3 2234 5 3909 2 16 5026 3 13 26 3972 11 8 13 3909 9 3630 
3 12 4219 4 0 8 7 9 6 2528 13 2665 18 10 5 8 17 16 7106 3611 5 10 12 6 
4 16 3 6143 8 0 10 10 8097 10 40 3 3 3630 9 39 3 25 18 11193 14 10832 17 7772 
5 10 7 5 7 10 0 2665 4 36 15 5773 11 9772 6 2 12 6860 2 12 9 1554 7222 1110 
6 4 5 3 9 10 2665 0 3 16 22 3553 11 29 5 4663 8 3 9 21 20 2 5 3 
7 8 4 2234 6 8097 4 3 0 6138 2792 16 40 8 3 5 8655 5 7 9 8 2513 29 1396 
8 11554 7222 5 2528 10 36 16 6138 0 12 6 11 12 5 22 8 8 11 3 17 9 12 15 
9 14 7 3909 13 40 15 22 2792 12 0 7 15 10 2 4188 20 35 2513 9 7539 6 14 1954 
10 18 2 2 2665 3 5773 3553 16 6 7 0 4 2792 4 9 7 3 8 14 5329 10 9 5329 
11 13 4 16 18 3 11 11 40 11 15 4 0 6 13 14 3 8666 12 12638 52 13360 12 9326 
12 16 18 5026 10 3630 9772 29 8 12 10 2792 6 0 7 47 7 23 21 6860 11 10 34 10 
13 10471 5 3 5 9 6 5 3 5 2 4 13 7 0 5863 8097 7222 5 11 23 10 19 6 
14 14 7 13 8 39 2 4663 5 22 4188 9 14 47 5863 0 12844 39 2 12999 9 4 10110 2220 
15 8097 6 26 17 3 12 8 8655 8 20 7 3 7 8097 12844 0 8 15 18 7 9493 9 13 
16 5 1 3972 16 25 6860 3 5 8 35 3 8666 23 7222 39 8 0 9388 42 11915 5 3250 9 
17 11193 7 11 7106 18 2 9 7 11 2513 8 12 21 5 2 15 9388 0 10832 10 4 12 5 
18 14 11 8 3611 11193 12 21 9 3 9 14 12638 6860 11 12999 18 42 10832 0 9 11554 14 9 
19 17 6883 13 5 14 9 20 8 17 7539 5329 52 11 23 9 7 11915 10 9 0 13 62 8 
20 7 5 3909 10 10832 1554 2 2513 9 6 10 13360 10 10 4 9493 5 4 11554 13 0 19 3 
21 722 3 9 12 17 7222 5 29 12 14 9 12 34 19 10110 9 3250 12 14 62 19 0 11 
22 19 5 3630 6 7772 1110 3 1396 15 1954 5329 9326 10 6 2220 13 9 5 9 8 3 11 0 

;param cto[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22:=
0 0 44 45 47 42 42 44 46 44 44 41 43 43 43 43 43 40 43 49 46 40 38 42 
1 44 0 40 41 40 42 40 45 41 42 39 45 41 45 47 41 43 47 43 43 41 44 46 
2 45 40 0 44 42 41 43 39 40 40 43 43 41 43 42 42 40 41 41 42 40 41 40 
3 47 41 44 0 42 47 42 46 39 42 40 42 39 41 48 40 42 44 40 40 43 47 46 
4 42 40 42 42 0 44 42 43 42 44 40 39 40 43 46 39 41 45 43 44 43 42 44 
5 42 42 41 47 44 0 40 39 42 40 42 46 44 41 39 45 41 43 43 44 39 41 39 
6 44 40 43 42 42 40 0 40 42 41 41 47 42 41 42 47 39 41 43 44 39 40 40 
7 46 45 39 46 43 39 40 0 41 40 41 44 43 39 40 43 44 40 46 47 39 41 39 
8 44 41 40 39 42 42 42 41 0 41 40 47 41 40 43 46 46 42 39 40 46 43 42 
9 44 42 40 42 44 40 41 40 41 0 42 46 43 43 40 44 42 39 42 43 41 43 39 
10 41 39 43 40 40 42 41 41 40 42 0 41 40 45 44 40 40 43 41 42 42 41 42 
11 43 45 43 42 39 46 47 44 47 46 41 0 41 44 47 43 42 46 44 44 44 43 45 
12 43 41 41 39 40 44 42 43 41 43 40 41 0 46 45 39 42 45 41 41 44 43 44 
13 43 45 43 41 43 41 41 39 40 43 45 44 46 0 42 43 41 40 40 42 41 43 40 
14 43 47 42 48 46 39 42 40 43 40 44 47 45 42 0 46 43 39 44 49 40 43 40 
15 43 41 42 40 39 45 47 43 46 44 40 43 39 43 46 0 42 46 42 46 44 43 44 
16 40 43 40 42 41 41 39 44 46 42 40 42 42 41 43 42 0 42 43 44 44 39 41 
17 43 47 41 44 45 43 41 40 42 39 43 46 45 40 39 46 42 0 43 44 41 43 39 
18 49 43 41 40 43 43 43 46 39 42 41 44 41 40 44 42 43 43 0 39 44 48 46 
19 46 43 42 40 44 44 44 47 40 43 42 44 41 42 49 46 44 44 39 0 45 46 44 
20 40 41 40 43 43 39 39 39 46 41 42 44 44 41 40 44 44 41 44 45 0 40 40 
21 38 44 41 47 42 41 40 41 43 43 41 43 43 43 43 43 39 43 48 46 40 0 42 
22 42 46 40 46 44 39 40 39 42 39 42 45 44 40 40 44 41 39 46 44 40 42 0 

;param d[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22:=
0 0.0 0 0 0 1.36 0.9 0 0 4.05 1.25 0.78 1.09 1.13 3.67 1.17 2.73 0.39 3.93 0 0.72 0.59 0.25 1.6 
1 0 0.0 0 1.17 0 0 0.2 0 2.53 0 0 0 0.99 0 0 0.28 0 0 0.45 1.91 0 0 0 
2 0 0 0.0 0 2.07 0 0 0.75 0.47 1.32 0 1.13 1.69 0 0.9 1.42 1.39 0.78 0.32 0.94 1.32 0.74 1.22 
3 0 1.17 0 0.0 0.35 0 0.42 0 0.89 0.94 0.74 1.54 0.55 0 0 0.92 1.36 1.97 1.27 0.2 0.48 0 0 
4 1.36 0 2.07 0.35 0.0 0 0.9 2.73 0.43 2.22 0 0.27 1.22 0 1.72 0.15 1.6 0.68 3.93 1.25 3.8 1.42 2.16 
