set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44;
set K:= 1 2 3 4 5;
param V:= 5;
param cp:= 150;
param dm:= 2.0;
param o:=
0 0
1 7
2 30
3 16
4 9
5 21
6 15
7 19
8 23
9 11
10 5
11 19
12 29
13 23
14 21
15 10
16 15
17 3
18 41
19 9
20 28
21 8
22 8
23 16
24 10
25 28
26 7
27 15
28 14
29 6
30 19
31 11
32 12
33 23
34 26
35 17
36 6
37 9
38 15
39 14
40 7
41 27
42 13
43 11
44 16
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44:=
0 0 4 6 9 9 5 3 7 6143 8 40 4 4 8097 6 6701 8 4747 4 10 11 8935 11 8 7 26 9 9 8097 9 14 16 6 12277 17 10889 12006 5026 17 17 47 17 8655 12 8 
1 4 0 4 5305 11 8 9 6 3071 8 15 3 22 11 7 13 5 8 8 12564 7 7 2 23 16 9214 5026 3 6 6 13 5 2 15165 8376 8 8655 8376 10 17 15636 25 15 9493 10331 
2 6 4 0 4 8216 7 8 9493 10 4467 10 6 6701 11 16 39 2234 19 9 28 3350 5 3611 18 11448 11 10 5305 26 10 8 10 3 14082 11 5305 8 11 3909 14 17 17 54 14 42 
3 9 5305 4 0 12 13 12 13 7583 17 15526 14 55 15 10 72 13 17332 10214 28 3 7 4 14 20 11 9027 7539 3250 4747 13 11 25 78 36 7 4333 21 10 20 18 17 55 16971 19137 
4 9 11 8216 12 0 6 7 8216 9 28 12 7 2665 4 15 5 31 3 1554 4 10658 20 8438 7 8 5 9326 6701 10436 9548 14 10214 8 11 9104 12 17 3 5773 14443 22 2887 4 18 3 
5 5 8 7 13 6 0 6980 22 48 13 5055 3 2513 10 8 4 4467 4 6 8 11554 6980 9749 20 21 8 29 6 53 28 6499 18 18 7222 12 16 65 3 2 10 9326 28 5995 27 6 
6 3 9 8 12 7 6980 0 5 10 38 14082 6 20 8 2792 9 11 13 8 19 11 14 7 3071 4 5 7 3 10 10331 15165 8 5 15887 23 15 13 7539 9 35 25 9 10331 6 9 
7 7 6 9493 13 8216 22 5 0 5055 12844 78 37 11 11 5 13960 11 23 7 11 14443 55 9027 1332 3 6 4 21 38 15 19498 7 30 87 16 65 16609 12006 22 23 12879 13 13 3 13681 
8 6143 3071 10 7583 9 48 10 5055 0 25 18 8 22 12 12 17 10 18 9 75 9 14 9 5416 10 29 10 4 5 11 15887 4 4747 39 59 45 14 18 11 19498 44 22 38 19 21 
9 8 8 4467 17 28 13 38 12844 25 0 5 4 7 10 9104 13 9 7259 10 12006 9 5 9388 15 13 12 15526 7 16 4467 4 14082 5305 33 5 10 13 6143 1954 6860 15077 49 12 20 7818 
10 40 15 10 15526 12 5055 14082 78 18 5 0 8 7944 17 20 11 9 11 26 13721 27 17 13360 18054 19137 34 21 15 16609 39 13 23 10110 17 7 19 18 27 5416 3611 19 30 22 22 15 
11 4 3 6 14 7 3 6 37 8 4 8 0 5 11 8 7 2792 7 5773 45 6143 6 5777 17 10 10 11 5 38 5 7583 20 7 11193 5584 8097 11 7 2 45 28 14 13 24 31 
12 4 22 6701 55 2665 2513 20 11 22 7 7944 5 0 6 19 18 25 5 3109 12 14 36 11 9 8376 5329 26 4467 13 8655 10 17 5 19 34 31 17 3 8 12 9 22 21 11448 6 
13 8097 11 11 15 4 10 8 11 12 10 17 11 6 0 3997 7106 10880 5 6 12 27 26 21 7 6 6 10658 9214 50 13 19 11991 12 19 16 19 32 24 18 22 4219 4 6 35 23 
14 6 7 16 10 15 8 2792 5 12 9104 20 8 19 3997 0 7772 36 7 2220 6 13 11102 7328 4 9 1 7 5 35 10 19 7994 29 16609 10880 48 12657 6 8 24 8 7 29 20 28 
