set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19;
set K:= 1 2;
param V:= 2;
param cp:= 160;
param dm:= 2.0;
param o:=
0 0
1 19
2 30
3 16
4 23
5 11
6 31
7 15
8 28
9 8
10 8
11 7
12 14
13 6
14 19
15 11
16 26
17 17
18 6
19 15
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19:=
0 0 4 5 9 16 8 3 5 8935 14 22 13 16 10471 10 8097 11 10889 12 4 
1 4 0 3 6860 5 11 5 4 7222 12 3 6 14 8 12 5 11 8 10 3997 
2 5 3 0 3 7944 4 2 1776 3 3109 2 21 3997 2 10 20 4441 11 7 6 
3 9 6860 3 0 8 9 7 5 1554 17 4333 18 8 7 10 13 18 2792 3350 13 
4 16 5 7944 8 0 16 10 10471 10 52 5 3 4694 12 64 4 59 22 11554 14 
5 8 11 4 9 16 0 2665 4 28 19 9388 17 7772 7 3 10 2513 9 11 2 
6 3 5 2 7 10 2665 0 2 10 18 3553 11 23 4 4663 6 6 16 20 3 
7 5 4 1776 5 10471 4 2 0 3775 2220 16 52 7 2 4 6883 3 13 8 2 
8 8935 7222 3 1554 10 28 10 3775 0 12 6 11 7 5 17 5 7 2 4 22 
9 14 12 3109 17 52 19 18 2220 12 0 11 19 12 3 5416 26 13 5863 9 3997 
10 22 3 2 4333 5 9388 3553 16 6 11 0 7 2220 6 15 6 14 7 13 4885 
11 13 6 21 18 3 17 11 52 11 19 7 0 7 16 23 4 17332 14 12999 53 
12 16 14 3997 8 4694 7772 23 7 7 12 2220 7 0 9 37 5 34 11 5584 14 
13 10471 8 2 7 12 7 4 2 5 3 6 16 9 0 7583 10471 5416 5 12 16 
14 10 12 10 10 64 3 4663 4 17 5416 15 23 37 7583 0 10214 7 13 11727 3 
15 8097 5 20 13 4 10 6 6883 5 26 6 4 5 10471 10214 0 12 9 15 8 
16 11 11 4441 18 59 2513 6 3 7 13 14 17332 34 5416 7 12 0 8376 40 3553 
17 10889 8 11 2792 22 9 16 13 2 5863 7 14 11 5 13 9 8376 0 1675 11 
18 12 10 7 3350 11554 11 20 8 4 9 13 12999 5584 12 11727 15 40 1675 0 42 
19 4 3997 6 13 14 2 3 2 22 3997 4885 53 14 16 3 8 3553 11 42 0 

;param cto[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19:=
0 0 44 45 47 42 42 44 46 44 44 41 43 43 43 43 43 43 45 49 40 
1 44 0 40 41 40 42 40 45 41 42 39 45 41 45 47 41 47 46 43 41 
2 45 40 0 44 42 41 43 39 40 40 43 43 41 43 42 42 41 41 42 40 
3 47 41 44 0 42 47 42 46 39 42 40 42 39 41 48 40 44 40 40 43 
4 42 40 42 42 0 44 42 43 42 44 40 39 40 43 46 39 45 43 44 43 
5 42 42 41 47 44 0 40 39 42 40 42 46 44 41 39 45 39 47 44 39 
