set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39;
set K:= 1 2 3 4 5;
param V:= 5;
param cp:= 140;
param dm:= 5.0;
param o:=
0 0
1 7
2 30
3 16
4 9
5 21
6 15
7 19
8 23
9 11
10 5
11 19
12 29
13 23
14 21
15 10
16 15
17 3
18 41
19 9
20 28
21 8
22 8
23 16
24 10
25 28
26 7
27 15
28 14
29 6
30 19
31 11
32 12
33 23
34 26
35 17
36 6
37 9
38 15
39 14
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39:=
0 0 4 6 9 9 5 3 9 6143 8 31 4 4 8097 6 6701 8 4747 4 10 11 8935 11 10 9 26 9 9 8097 9 10 16 6 9493 17 10889 12006 5026 17 13 
1 4 0 4 5305 11 8 9 8 3071 8 12 3 22 11 7 13 5 8 8 12564 7 7 2 30 21 9214 5026 3 6 6 10 5 2 11727 8376 8 8655 8376 10 13 
2 6 4 0 5 10331 7 10 12277 6 5777 10 6 6701 11 27 39 2889 19 14 22 4333 6 2220 24 14804 17 6 5305 16 13 8 6 3 14082 14 6860 11 11 5055 14 
3 9 5305 5 0 15 10 12 13 4663 22 15526 14 42 15 13 56 17 13402 12844 28 2 9 3 14 20 14 5551 7539 1998 6138 13 7 25 78 46 4 2665 16 13 20 
4 9 11 10331 15 0 7 7 13360 11 36 12 9 3350 4 19 6 39 4 1954 4 13402 25 10610 11 13 6 11727 6701 13123 12006 11 12844 8 11 11448 15 21 3 7259 14443 
5 5 8 7 10 7 0 6980 29 37 13 5055 3 2513 10 10 4 4467 4 7 8 8935 6980 7539 26 27 10 22 6 41 28 5026 14 18 7222 12 12 50 3 2 10 
6 3 9 10 12 7 6980 0 6 8 49 14082 6 20 7 2792 9 14 13 8 15 11 19 6 3972 5 5 6 3 8 13360 15165 6 5 15887 30 15 13 7539 12 35 
7 9 8 12277 13 13360 29 6 0 5055 16609 78 48 14 18 8 18054 15 30 11 18 14443 71 9027 2166 6 10 4 27 38 19 19498 7 39 87 21 65 16609 15526 28 23 
8 6143 3071 6 4663 11 37 8 5055 0 16 18 6 17 12 12 13 6 14 9 46 6 9 5 5416 10 29 6 4 3 7 9770 2 4747 39 36 28 9 14 7 19498 
9 8 8 5777 22 36 13 49 16609 16 0 5 4 7 10 14804 13 12 7259 16 9548 11 6 5773 19 17 20 9548 7 10 5777 4 8660 5305 33 6 12 17 6143 2528 6860 
10 31 12 10 15526 12 5055 14082 78 18 5 0 7 7944 10 20 11 9 11 26 8438 27 17 13360 18054 19137 34 21 12 16609 39 13 23 7818 17 7 19 18 27 5416 3611 
11 4 3 6 14 9 3 6 48 6 4 7 0 5 14 10 7 2792 7 7259 45 6143 6 4467 22 13 12 8 5 29 5 5863 16 7 8655 5584 8097 11 7 2 35 
12 4 22 6701 42 3350 2513 20 14 17 7 7944 5 0 6 23 18 25 5 3909 12 11 36 8 12 10832 6701 20 4467 10 8655 8 13 5 19 34 24 13 3 8 12 
13 8097 11 11 15 4 10 7 18 12 10 10 14 6 0 3997 7106 10880 5 6 12 27 26 21 12 10 6 10658 9214 50 13 12 11991 12 12 16 19 32 24 18 13 
14 6 7 27 13 19 10 2792 8 12 14804 20 10 23 3997 0 9772 58 8 2792 6 16 18054 7328 7 14 2 7 5 35 17 19 7994 29 16609 17693 60 15915 8 13 24 
15 6701 13 39 56 6 4 9 18054 13 13 11 7 18 7106 9772 0 10 4 14 5 12844 11 14 32 32 10 14519 9 18 12 6701 16 8376 8 8376 14798 16 2 6 33 
16 8 5 2889 17 39 4467 14 15 6 12 9 2792 25 10880 58 10 0 8376 51 10658 6 3611 5 16 16 65 8 6422 6 3 5416 28 16 45 4333 35 22 15 13 10 
