set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49;
set K:= 1 2 3 4 5 6 7 8;
param V:= 8;
param cp:= 120;
param dm:= 2.0;
param o:=
0 0
1 18
2 26
3 11
4 30
5 21
6 19
7 15
8 16
9 29
10 26
11 37
12 16
13 12
14 31
15 8
16 19
17 20
18 13
19 15
20 22
21 28
22 12
23 6
24 27
25 14
26 18
27 17
28 29
29 13
30 22
31 25
32 28
33 27
34 19
35 10
36 12
37 14
38 24
39 16
40 33
41 15
42 11
43 18
44 17
45 21
46 27
47 19
48 20
49 5
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49:=
0 0 9 5 7 5 11 3 5 5416 10 38 13 9 7944 12 9749 9 2889 12 9 16 9749 22 14 12 48 2 23 8666 7 6 27 16 6138 7 6499 11915 11554 38 10 20 26 12999 14 8 6 4 10 29 11 
1 9 0 6 5107 12 15 12 9 8882 13 16 15 45 9 12 18 3 9 11 10436 20 8 2 11 14 11727 10832 10 6 11 8 17 11 1776 7328 11 12277 13721 28 12 10471 5 3 1332 5773 12 31 10110 19 3997 
2 5 6 0 5 4333 8 3 9749 12 12277 11 24 9027 10 29 38 3997 13 16 25 11554 7 5777 11 11915 17 7 7222 14 23 3 23 11 2220 14 10832 11 12 11448 14 9 11 35 8 23 5055 8 25 9 12 
3 7 5107 5 0 6 9 7 6 7550 6 7818 22 22 10 9 41 4 4333 3553 18 15 9 7 5 4 4 7222 7772 7106 7994 6 14 7 14 26 15 10658 14 12 4 4 8 28 5773 666 7 8 36 10 2 
4 5 12 4333 6 0 8 5 5416 6 43 10 11 6499 7 39 9 21 11 14804 9 10471 16 10471 8 17 18 3972 3611 7583 3972 3 15526 12 4 2528 6 12 9 8655 10471 30 13360 13 24 6 3 4 14 20 15 
5 11 15 8 9 8 0 9388 13 22 69 13402 14 12999 4 10 3 8216 12 18 7 4333 4694 10471 20 30 23 21 3 29 9 4694 27 66 6661 9 7 14 3 13 19 14082 62 14443 28 12 4 5 3 2528 13 
6 3 12 3 7 5 9388 0 9 17 36 11554 14 25 12 13360 11 5 7 23 23 15 10 9 7944 11 14 6 10 8 7222 4333 15 8 2889 13 12 11 11915 15 19 12 10 9388 8 6 12 8 9027 6860 7583 
7 5 9 9749 6 5416 13 9 0 1554 5551 20 17 6 5 3 6217 7 13 11 3 8660 53 9770 9770 13 9 3 14 53 11 9027 7 25 28 2 4 8882 7994 9 5 7222 14 12 11 6439 9 2 7772 42 35 
8 5416 8882 12 7550 6 22 17 1554 0 14 8 6 14 3 6 5 8 10 16 6 7 13 19 10436 15 37 20 2 13 7 7944 10 7328 15 6 4 10 8 6 6439 18 14 22 20 9 22 1 6661 9027 11 
9 10 13 12277 6 43 69 36 5551 14 0 5 10 5 10 7994 36 20 5777 6 8216 27 22 12844 9 7 3 6860 8 19 15165 17 4747 1954 27 13 7 25 19859 6143 1117 3250 49 14 14 2665 13360 7 20 31 5551 
10 38 16 11 7818 10 13402 11554 20 8 5 0 5 5416 11 8 26 12 10 18 7818 32 30 15077 13123 11168 13 8 12 13960 46 45 5 6143 44 9 7 16 60 1954 3071 7 31 32 15 15 10 8 18 14 12 
11 13 15 24 22 11 14 14 17 6 10 5 0 11 10 3 11 12285 12 12844 20 14519 16 16473 32 15 13 8 11 58 12 11168 15 39 12844 6980 4188 17 17 3 28 21 22 22 34 42 9772 8 14 14 56 
12 9 45 9027 22 6499 12999 25 6 14 5 5416 11 0 11 39 55 29 5 9388 19 19 56 16 13 10471 7944 5 9388 13 10832 9 11 6 17 26 14 16 16 14 4 2 59 61 13360 6 18 6 14082 13 10 
13 7944 9 10 10 7 4 12 5 3 10 11 10 11 0 4885 2443 9104 12 32 12 9 20 19 11 15 24 8305 1554 48 5 8 11324 11 10 4 4 12 18 19 10 12638 24 14 43 38 19 3 5 27 11 
14 12 12 29 9 39 10 13360 3 6 7994 8 3 39 4885 0 7328 41 14 14798 2 12 16971 12435 16 63 10 8 5 71 12 14 7994 36 9992 4441 8 10436 9 5 9 12 18 56 52 36 10471 3997 10 17 13 
15 9749 18 38 41 9 3 11 6217 5 36 26 11 55 2443 7328 0 12 16 34 5 3611 8 17 23 32 22 10832 3 13 4 6860 24 17693 16 4441 5773 6 4 12 69 19 18054 69 16609 42 4694 19 5416 5 45 
16 9 3 3997 4 21 8216 5 7 8 20 12 12285 29 9104 41 12 0 5055 20 9326 11 7106 6 3 3 25 8 7550 5 7 5329 36 15 7 6439 32 19 20 44 6 6 5 6 3775 3 26 13 10 6661 4 
17 2889 9 13 4333 11 12 7 13 10 5777 10 12 5 12 14 16 5055 0 9388 13 18 13 45 11 9388 9027 3 10 20 12 7 23 5 6 8 7944 18 14 9388 6 2 15 12277 11 5 9 26 24 11 30 
18 12 11 16 3553 14804 18 23 11 16 6 18 12844 9388 32 14798 34 20 9388 0 59 19545 20 13 6217 15 3 12 14 68 75 16248 8097 4 14 25 16 71 20 14 7 30 10889 12 11 3109 17332 14 64 23 4 
19 9 10436 25 18 9 7 23 3 6 8216 7818 20 19 12 2 5 9326 13 59 0 9 56 12 12 15356 21 15 3331 16 17 12 9 10 18 3 2 8 8 26 9 46 14 13 12 9104 9 3 31 43 12 
20 16 20 11554 15 10471 4333 15 8660 7 27 32 14519 19 9 12 3611 11 18 19545 9 0 32 16 12435 23 25275 14443 4885 45 13 10 51 20942 19 27 8 5 9 61 21 72 39 18 18054 16 9 14 6 9 13 
21 9749 8 7 9 16 4694 10 53 13 22 30 16 56 20 16971 8 7106 13 20 56 32 0 8 10 19 41 48 33 3 5 5 26 16 5329 9749 13721 5 6 14798 17693 16 12 12 10 11 8 42 4 6 11 
22 22 2 5777 7 10471 10471 9 9770 19 12844 15077 16473 16 19 12435 17 6 45 13 12 16 8 0 4663 11 14 13 7772 4 21 7583 35 45 4 32 13 13 49 18 16 53 3 5 5 10 21 11 35 8305 7 
