set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49;
set K:= 1 2 3 4 5 6 7 8 9 10;
param V:= 10;
param cp:= 100;
param dm:= 5.0;
param o:=
0 0
1 18
2 26
3 11
4 30
5 21
6 19
7 15
8 16
9 29
10 26
11 37
12 16
13 12
14 31
15 8
16 19
17 20
18 13
19 15
20 22
21 28
22 12
23 6
24 27
25 14
26 18
27 17
28 29
29 13
30 22
31 25
32 28
33 27
34 19
35 10
36 12
37 14
38 24
39 16
40 33
41 15
42 11
43 18
44 17
45 21
46 27
47 19
48 20
49 5
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49:=
0 0 9 3 4 4 11 2 4 4188 10 38 13 9 6143 9 9749 5 2889 12 7 16 9749 22 14 7 48 2 18 5329 7 4 27 16 3775 6 5026 11915 11554 38 10 20 26 12999 14 5 4 3 10 29 7 
1 9 0 6 8305 12 15 12 14 14443 17 21 19 45 15 19 18 5 9 14 16971 20 8 3 17 18 15165 10832 16 6 11 8 22 14 2889 11915 17 12277 13721 36 15 10471 8 5 2166 9388 12 51 10110 19 6499 
2 3 6 0 5 3350 5 2 7539 9 7550 14 31 5551 8 22 23 3997 8 10 19 7106 4 5777 18 7328 10 4 5584 9 14 2 23 7 2220 11 8376 7 7 14804 8 5 11 35 8 23 3909 6 15 6 12 
3 4 8305 5 0 8 9 4 6 7550 6 6217 17 13 13 9 41 4 2665 3553 18 15 9 12 8 4 4 4441 9772 7106 7994 6 14 7 14 32 15 10658 14 9 4 2 13 45 9388 666 9 10 36 10 2 
4 4 12 3350 8 0 6 4 4188 4 34 10 11 5026 5 30 7 27 8 11448 7 8097 12 10471 12 13 14 3071 2792 5863 3071 3 12006 9 5 1954 5 9 7 8655 8097 23 13360 13 24 8 2 3 11 16 18 
5 11 15 5 9 6 0 5773 17 28 54 17332 18 12999 6 13 2 8216 12 18 9 2665 2887 10471 32 24 18 21 4 18 5 2887 27 51 6661 11 9 9 2 17 15 14082 62 14443 28 12 3 7 2 1554 13 
6 2 12 2 4 4 5773 0 7 13 22 11554 14 15 9 10331 7 3 4 14 18 9 6 9 7944 7 8 4 8 5 4441 2665 15 5 1776 10 9 7 7328 15 12 7 10 9388 8 4 9 6 5551 4219 4663 
7 4 14 7539 6 4188 17 7 0 1954 6980 26 22 5 7 4 7818 7 10 11 3 10889 41 15887 15887 11 11 3 18 41 8 6980 12 31 35 3 6 11168 10051 12 6 5584 23 20 18 6439 7 2 9772 32 35 
8 4188 14443 9 7550 4 28 13 1954 0 18 10 7 11 4 7 6 8 8 16 8 9 10 31 16971 12 47 16 3 10 5 6143 16 9214 18 8 6 12 10 8 8097 14 23 36 33 9 17 1 8376 6980 11 
