set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18;
set K:= 1 2;
param V:= 2;
param cp:= 160;
param dm:= 5.0;
param o:=
0 0
1 19
2 30
3 16
4 23
5 11
6 31
7 15
8 28
9 14
10 8
11 7
12 14
13 19
14 11
15 26
16 17
17 6
18 15
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18:=
0 0 4 5 9 12 8 3 6 8935 11 22 10 16 8376 10 8655 18 15526 4 
1 4 0 5 6860 5 8 7 5 7222 7 2 6 14 9 4 10 10 11 6 
2 5 5 0 8 9388 3 2 838 8 2887 4 24 5329 5 12 17 8305 21 2 
3 9 6860 8 0 8 11 11 8 2528 11 4333 18 8 11 3 36 7 4333 10471 
4 12 5 9388 8 0 16 10 10471 10 52 5 3 2887 18 8 19 45 23 10832 
5 8 8 3 11 16 0 3350 4 36 12 7259 17 7772 3 11 3 11193 13 2 
6 3 7 2 11 10 3350 0 3 16 18 4467 11 23 7 6217 6 13 25 3 
7 6 5 838 8 10471 4 3 0 6138 2220 20 52 7 5 8 3350 9 22 3 
8 8935 7222 8 2528 10 36 16 6138 0 7 6 11 7 11 10 7 3 5 11 
9 11 7 2887 11 52 12 18 2220 7 0 7 19 8 4 7994 5 30 9749 5 
10 22 2 4 4333 5 7259 4467 20 6 7 0 7 2220 9 4 17 9 11 12 
11 10 6 24 18 3 17 11 52 11 19 7 0 4 23 3 17 12638 14 13360 
12 16 14 5329 8 2887 7772 23 7 7 8 2220 4 0 9 5 34 27 14 7106 
13 8376 9 5 11 18 3 7 5 11 4 9 23 9 0 10214 1675 12999 17 8 
14 10 4 12 3 8 11 6217 8 10 7994 4 3 5 10214 0 9548 36 12 7550 
15 8655 10 17 36 19 3 6 3350 7 5 17 17 34 1675 9548 0 14 16 9 
16 18 10 8305 7 45 11193 13 9 3 30 9 12638 27 12999 36 14 0 2166 46 
17 15526 11 21 4333 23 13 25 22 5 9749 11 14 14 17 12 16 2166 0 13721 
18 4 6 2 10471 10832 2 3 3 11 5 12 13360 7106 8 7550 9 46 13721 0 

;param cto[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18:=
0 0 44 45 47 42 42 44 46 44 44 41 43 43 43 43 43 45 46 44 
1 44 0 40 41 40 42 40 45 41 42 39 45 41 47 45 43 46 47 41 
2 45 40 0 45 42 40 43 38 41 40 44 44 42 45 43 40 42 43 39 
3 47 41 45 0 42 47 42 46 39 42 40 42 39 44 44 44 40 40 43 
4 42 40 42 42 0 44 42 43 42 44 40 39 40 46 39 45 43 44 43 
5 42 42 40 47 44 0 40 39 42 40 42 46 44 39 45 39 43 48 39 
6 44 40 43 42 42 40 0 40 42 41 41 47 42 42 43 45 43 44 39 
7 46 45 38 46 43 39 40 0 41 40 41 44 43 40 43 40 46 43 43 
8 44 41 41 39 42 42 42 41 0 41 40 47 41 43 42 46 43 40 42 
