set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21;
set K:= 1 2;
param V:= 2;
param cp:= 160;
param dm:= 5.0;
param o:=
0 0
1 7
2 30
3 16
4 23
5 11
6 19
7 15
8 28
9 8
10 8
11 7
12 14
13 6
14 19
15 11
16 12
17 26
18 17
19 6
20 15
21 10
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21:=
0 0 5 5 12 12 10 4 8 11554 14 29 10 21 6439 14 10471 5 11193 14 17 7 9388 
1 5 0 3 5305 4 11 9 6 5584 9 2 5 14 5 9 5 2 8 8 8655 8 9 
2 5 3 0 3 6143 4 4 1776 3 3109 2 16 3997 2 10 20 2443 9 5 11 5055 4 
3 12 5305 3 0 7 11 11 8 1554 13 3350 14 8 4 10 13 12 8935 2220 5 13 10 
4 12 4 6143 7 0 12 10 8097 8 40 4 2 3630 9 49 3 19 23 8655 11 10832 20 
5 10 11 4 11 12 0 4333 6 36 15 9388 13 7772 4 3 10 6860 3 12 15 2528 1805 
6 4 9 4 11 10 4333 0 4 16 29 5777 11 38 7 7583 10 3 14 21 25 2 6 
7 8 6 1776 8 8097 6 4 0 6138 2792 26 40 7 2 5 6883 5 7 9 11 3250 7 
8 11554 5584 3 1554 8 36 16 6138 0 9 5 9 7 3 17 5 6 9 2 11 9 8 
9 14 9 3109 13 40 15 29 2792 9 0 9 15 10 2 4188 20 27 2513 7 7539 8 2 
10 29 2 2 3350 4 9388 5777 26 5 9 0 6 2220 4 12 6 4 10 11 6701 16 17 
11 10 5 16 14 2 13 11 40 9 15 6 0 6 13 18 3 6701 15 9772 40 13360 13 
12 21 14 3997 8 3630 7772 38 7 7 10 2220 6 0 5 47 5 19 21 4219 9 13 28 
13 6439 5 2 4 9 4 7 2 3 2 4 13 5 0 4663 6439 4441 4 7 19 13 5 
14 14 9 10 10 49 3 7583 5 17 4188 12 18 47 4663 0 12844 30 2 10051 12 7 2792 
15 10471 5 20 13 3 10 10 6883 5 20 6 3 5 6439 12844 0 6 15 11 6 12277 9 
16 5 2 2443 12 19 6860 3 5 6 27 4 6701 19 4441 30 6 0 7259 32 9214 5 7222 
17 11193 8 9 8935 23 3 14 7 9 2513 10 15 21 4 2 15 7259 0 8376 13 6 2 
18 14 8 5 2220 8655 12 21 9 2 7 11 9772 4219 7 10051 11 32 8376 0 5 11554 9 
19 17 8655 11 5 11 15 25 11 11 7539 6701 40 9 19 12 6 9214 13 5 0 17 46 
20 7 8 5055 13 10832 2528 2 3250 9 8 16 13360 13 13 7 12277 5 6 11554 17 0 16 
21 9388 9 4 10 20 1805 6 7 8 2 17 13 28 5 2792 9 7222 2 9 46 16 0 

;param cto[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21:=
0 0 44 45 47 42 42 44 46 44 44 41 43 43 43 43 43 40 43 49 46 40 42 
