set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21;
set K:= 1 2 3 4 5 6 7 8;
param V:= 8;
param cp:= 3000;
param dm:= 5.0;
param o:=
0 0
1 1100
2 700
3 800
4 1400
5 2100
6 400
7 800
8 100
9 500
10 600
11 1200
12 1300
13 1300
14 300
15 900
16 2100
17 1000
18 900
19 2500
20 1800
21 700
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21:=
0 0 18 17 11 22 10 11 7 8666 7 25 10 8 5777 3 7222 4 7944 10 12 14 11915 
1 18 0 3 6422 9 6 10 5 7259 8 11 11 52 15 20 20 21 20 22 28164 28 30 
2 17 3 0 8 8935 3 5 4219 9 5551 9 24 12285 15 39 59 20581 39 21 56 21220 37 
3 11 6422 8 0 1 9 6 9 5305 21 7818 13 50 12 13 64 27 17590 19265 47 25 26 
4 22 9 8935 1 0 12 6 9493 6 42 9 7 12285 12 52 20 52 34 19265 28 20103 51 
5 10 6 3 9 12 0 3775 2 20 10 4663 9 6661 13 12 10 10214 12 13 27 13767 24914 
6 11 10 5 6 6 3775 0 4 4 17 3909 5 43 9 13721 15 18 30 31 43 19 29 
7 7 5 4219 9 9493 2 4 0 4219 1332 14 30 6 12 9 7550 9 22 11 22 12657 91 
8 8666 7259 9 5305 6 20 4 4219 0 9 3 4 19 8 22 14 12 16 17 74 15 23 
9 7 8 5551 21 42 10 17 1332 9 0 4 10 5 9 7106 12 33 9992 12 20942 14 27 
10 25 11 9 7818 9 4663 3909 14 3 4 0 5 6138 6 11 20 12 14 23 16971 26 36 
11 10 11 24 13 7 9 5 30 4 10 5 0 9 5 13 9 10110 10 11546 61 11769 20 
12 8 52 12285 50 12285 6661 43 6 19 5 6138 9 0 6 19 17 26 18 9027 27 13 55 
13 5777 15 15 12 12 13 9 12 8 9 6 5 6 0 6499 7772 5055 7 18 36 17 24 
14 3 20 39 13 52 12 13721 9 22 7106 11 13 19 6499 0 6499 7 7 8305 9 11 9388 
15 7222 20 59 64 20 10 15 7550 14 12 20 9 17 7772 6499 0 10 10 11 14 8666 14 
16 4 21 20581 27 52 10214 18 9 12 33 12 10110 26 5055 7 10 0 5055 38 7222 9 8666 
17 7944 20 39 17590 34 12 30 22 16 9992 14 10 18 7 7 10 5055 0 3775 8 3 5 
18 10 22 21 19265 19265 13 31 11 17 12 23 11546 9027 18 8305 11 38 3775 0 51 2665 10 
19 12 28164 56 47 28 27 43 22 74 20942 16971 61 27 36 9 14 7222 8 51 0 12 17 
20 14 28 21220 25 20103 13767 19 12657 15 14 26 11769 13 17 11 8666 9 3 2665 12 0 23 
21 11915 30 37 26 51 24914 29 91 23 27 36 20 55 24 9388 14 8666 5 10 17 23 0 

;param cto[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21:=
0 0 50 50 49 45 44 47 47 42 43 41 42 40 41 39 41 39 42 47 43 43 44 
1 50 0 39 42 42 41 41 46 42 43 44 49 46 51 52 48 52 54 51 52 52 56 
2 50 39 0 47 44 40 45 41 43 42 47 46 46 51 47 47 48 50 50 52 51 52 
3 49 42 47 0 38 48 41 48 41 44 43 42 46 45 50 48 47 49 50 49 51 55 
4 45 42 44 38 0 44 41 44 41 45 43 42 46 45 46 48 46 49 50 49 51 50 
5 44 41 40 48 44 0 41 39 42 40 42 45 43 46 45 45 46 52 47 50 49 50 
6 47 41 45 41 41 41 0 40 39 41 40 46 43 44 45 49 45 47 48 48 49 49 
7 47 46 41 48 44 39 40 0 41 39 41 44 42 45 44 44 49 47 50 53 48 49 
8 42 42 43 41 41 42 39 41 0 42 39 44 42 43 43 48 48 46 47 47 51 48 
9 43 43 42 44 45 40 41 39 42 0 40 44 41 49 44 43 44 46 46 48 47 48 
10 41 44 47 43 43 42 40 41 39 40 0 41 41 46 42 43 42 45 45 46 46 47 
11 42 49 46 42 42 45 46 44 44 44 41 0 43 41 43 49 43 45 47 45 47 47 
12 40 46 46 46 46 43 43 42 42 41 41 43 0 46 40 40 41 42 42 45 44 45 
13 41 51 51 45 45 46 44 45 43 49 46 41 46 0 41 44 40 43 45 42 45 44 
14 39 52 47 50 46 45 45 44 43 44 42 43 40 41 0 41 39 40 42 46 42 42 
15 41 48 47 48 48 45 49 44 48 43 43 49 40 44 41 0 42 42 40 49 42 44 
16 39 52 48 47 46 46 45 49 48 44 42 43 41 40 39 42 0 40 42 41 46 42 
17 42 54 50 49 49 52 47 47 46 46 45 45 42 43 40 42 40 0 41 41 40 40 
18 47 51 50 50 50 47 48 50 47 46 45 47 42 45 42 40 42 41 0 44 40 46 
19 43 52 52 49 49 50 48 53 47 48 46 45 45 42 46 49 41 41 44 0 42 40 
20 43 52 51 51 51 49 49 48 51 47 46 47 44 45 42 42 46 40 40 42 0 41 
21 44 56 52 55 50 50 49 49 48 48 47 47 45 44 42 44 42 40 46 40 41 0 

;param d[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21:=
0 0.0 0 0 0 1.56 0 0 0 3.04 0 1.6 0.9 0.68 2.03 0.27 2.53 0.35 2.79 0 0.5 1.21 4.18 
1 0 0.0 0.13 2.16 0.42 0 0.7 0 2.45 0 0.53 0 2.9 0 0 0.95 0 0 0 9.88 1.32 0 
2 0 0.13 0.0 0 3.01 0 0 1.17 0.45 1.54 0 1.68 4.14 0 3.33 3.26 7.22 2.7 0 4.8 7.15 3.17 
3 0 2.16 0 0.0 0 0 0.28 0 1.79 1.45 2.63 0.9 2.77 0 0 3.51 1.92 5.93 6.49 4.0 1.22 0 
4 1.56 0.42 3.01 0 0.0 0.58 0.3 3.2 0 2.34 0 0.35 4.14 0 2.9 0.94 2.9 2.39 6.49 2.46 6.78 4.31 
5 0 0 0 0 0.58 0.0 1.05 0.08 0.86 0.43 1.29 0 1.85 0 0 0 2.83 0 0 1.12 3.82 8.74 
6 0 0.7 0 0.28 0.3 1.05 0.0 0 0.31 0.74 1.32 0 2.82 0 4.81 0 1.56 2.07 2.15 3.63 0 2.5 
7 0 0 1.17 0 3.2 0.08 0 0.0 1.17 0.37 0.63 1.33 0 0 0 2.09 0 0.83 0 0 3.51 5.93 
