set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49;
set K:= 1 2 3 4 5 6 7 8 9 10;
param V:= 10;
param cp:= 100;
param dm:= 2.0;
param o:=
0 0
1 18
2 26
3 11
4 30
5 21
6 19
7 15
8 16
9 29
10 26
11 37
12 16
13 12
14 31
15 8
16 19
17 20
18 13
19 15
20 22
21 28
22 12
23 6
24 27
25 14
26 18
27 17
28 29
29 13
30 22
31 25
32 28
33 27
34 19
35 10
36 12
37 14
38 24
39 16
40 33
41 15
42 11
43 18
44 17
45 21
46 27
47 19
48 20
49 5
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49:=
0 0 9 5 5 5 9 3 3 3331 6 23 8 7 7944 7 7539 7 2234 9 6 13 9749 22 14 9 37 2 23 8666 7 6 16 12 6138 7 3997 9214 8935 23 6 16 26 12999 14 6 6 4 10 29 9 
1 9 0 6 6422 12 15 12 9 8882 10 13 12 45 15 12 18 4 9 11 10436 20 8 3 17 14 11727 10832 16 6 11 8 13 11 2889 11915 11 12277 13721 22 9 10471 8 5 2166 7259 12 51 10110 19 5026 
2 5 6 0 7 4333 8 3 9749 12 7550 9 31 9027 10 29 38 5026 13 16 25 11554 7 5777 18 11915 17 7 7222 14 23 3 14 8 3611 14 10832 11 12 14804 8 9 11 35 8 29 5055 8 25 9 15 
3 5 6422 7 0 10 12 6 8 9493 8 7818 22 17 17 12 51 5 3350 4467 23 19 11 9 6 5 5 5584 12638 8935 12999 8 18 9 18 42 19 13402 17 12 5 3 10 35 7259 838 12 14 46 13 3 
4 5 12 4333 10 0 8 5 5416 6 43 12 14 6499 7 39 9 35 11 14804 9 10471 16 10471 12 17 18 3972 3611 7583 3972 3 15526 12 7 2528 6 12 9 11193 10471 30 13360 13 24 10 3 4 14 20 24 
5 9 15 8 12 8 0 7259 13 22 43 10658 11 10051 7 10 2 10331 9 18 7 2665 4694 10471 32 30 18 16 6 29 9 4694 17 51 10832 14 7 9 2 10 12 10889 62 14443 28 15 4 9 3 2528 16 
6 3 12 3 6 5 7259 0 6 11 22 7106 8 19 12 8216 8 4 6 18 14 12 10 9 7944 8 11 5 10 8 7222 4333 9 6 2889 13 7 9 9214 9 12 9 10 9388 8 5 12 8 9027 6860 5863 
7 3 9 9749 8 5416 13 6 0 1554 5551 16 13 4 9 3 6217 9 8 11 3 8660 53 9770 9770 13 11 2 23 53 11 9027 7 31 28 4 4 8882 7994 7 5 4441 14 12 11 8097 9 3 12638 42 44 
8 3331 8882 12 9493 6 22 11 1554 0 14 6 4 9 5 6 5 10 6 16 6 7 13 19 10436 15 47 12 4 13 7 7944 10 9214 15 10 4 10 8 5 6439 11 14 22 20 12 22 2 10832 9027 13 
