set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49;
set K:= 1 2 3 4 5 6 7;
param V:= 7;
param cp:= 150;
param dm:= 5.0;
param o:=
0 0
1 18
2 26
3 11
4 30
5 21
6 19
7 15
8 16
9 29
10 26
11 37
12 16
13 12
14 31
15 8
16 19
17 20
18 13
19 15
20 22
21 28
22 12
23 6
24 27
25 14
26 18
27 17
28 29
29 13
30 22
31 25
32 28
33 27
34 19
35 10
36 12
37 14
38 24
39 16
40 33
41 15
42 11
43 18
44 17
45 21
46 27
47 19
48 20
49 5
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49:=
0 0 6 4 5 5 9 3 4 4188 8 38 13 7 7944 9 7539 7 2234 9 7 13 7539 13 9 9 37 2 23 6701 6 5 27 12 4747 7 5026 9214 8935 38 8 16 16 7994 9 6 6 4 8 22 9 
1 6 0 4 6422 12 9 7 9 8882 10 13 12 28 15 12 11 4 5 11 10436 12 5 2 11 14 9326 6661 16 4 7 5 13 9 1776 11915 11 7550 8438 22 9 6439 5 3 1332 7259 12 51 6217 12 5026 
2 4 4 0 7 4333 5 2 7539 9 12277 14 31 6980 10 22 23 5026 10 12 19 7106 4 3553 11 9214 17 6 7222 11 14 2 23 11 2792 14 8376 7 7 14804 14 7 7 21 5 29 5055 8 15 6 15 
3 5 6422 7 0 10 12 6 8 9493 8 7818 22 17 17 12 51 5 3350 4467 23 19 11 9 6 5 5 5584 12638 8935 10051 8 18 9 18 42 19 13402 17 12 5 3 10 35 7259 838 12 14 46 13 3 
4 5 12 4333 10 0 8 5 5416 6 43 12 14 6499 7 39 9 35 11 14804 9 10471 16 10471 12 17 18 3972 3611 7583 3972 3 15526 12 7 2528 6 12 9 11193 10471 30 13360 13 24 10 3 4 14 20 24 
5 9 9 5 12 8 0 5773 13 22 43 17332 18 10051 7 10 2 10331 9 18 7 2665 2887 6439 20 30 14 16 6 18 5 2887 27 41 6661 14 7 9 2 17 12 10889 38 8882 17 15 4 9 2 1554 16 
6 3 7 2 6 5 5773 0 7 13 36 11554 14 19 12 10331 7 4 6 18 18 9 6 5 4885 8 14 5 10 6 4441 3350 15 8 2234 13 9 7 7328 15 19 9 6 5773 5 5 12 8 5551 4219 5863 
7 4 9 7539 8 5416 13 7 0 1554 9027 26 22 5 9 3 6217 9 10 11 3 8660 33 9770 9770 13 14 3 23 41 7 6980 12 40 35 4 4 8882 7994 12 8 5584 14 12 11 8097 9 3 7772 26 44 
8 4188 8882 9 9493 6 22 13 1554 0 23 10 7 11 5 6 5 10 8 16 6 7 8 19 10436 15 61 16 4 10 4 6143 16 11915 18 10 4 10 8 8 10471 14 14 22 20 12 22 2 6661 5551 13 
9 8 10 12277 8 43 43 36 9027 23 0 7 13 4 16 12999 22 26 4467 6 13360 17 14 10214 9 7 5 5305 14 19 9326 17 6138 2528 43 22 12 16 12213 7944 1444 2513 39 11 11 3350 13360 11 12 19 6980 
10 38 13 14 7818 12 17332 11554 26 10 7 0 6 5416 14 10 34 12 10 18 10110 42 38 11991 10436 11168 17 8 16 18054 59 58 6 7944 56 12 9 21 78 2528 3972 7 25 25 12 15 13 10 23 18 12 
11 13 12 31 22 14 18 14 22 7 13 6 0 11 14 5 15 12285 12 12844 26 18776 21 13101 25 15 17 8 14 75 16 14443 19 51 16609 9027 5416 22 23 4 36 21 18 18 27 42 12638 10 18 18 56 
12 7 28 6980 17 6499 10051 19 5 11 4 5416 11 0 11 30 42 22 4 7259 15 15 44 10 8 8097 6143 4 9388 10 8376 7 11 5 13 26 11 13 12 14 3 2 36 37 8216 5 18 6 10889 10 8 
13 7944 15 10 17 7 7 12 9 5 16 14 14 11 0 7944 3972 14804 12 41 19 15 20 30 18 20 38 8305 2528 48 5 8 18415 17 16 6 7 19 29 25 16 12638 38 23 69 62 19 5 8 27 18 
14 9 12 22 12 39 10 10331 3 6 12999 10 5 30 7944 0 7328 51 11 14798 2 12 10436 12435 16 63 16 6 9 55 7 11 12999 58 12564 7222 8 10436 9 7 14 9 18 56 52 46 10471 6499 10 11 16 
15 7539 11 23 51 9 2 7 6217 5 22 34 15 42 3972 7328 0 15 12 34 5 2220 5 10 23 32 13 8376 4 8 2 4219 24 10880 16 7222 5773 4 2 16 43 14 11102 43 10214 52 4694 30 3331 3 57 
16 7 4 5026 5 35 10331 4 9 10 26 12 12285 22 14804 51 15 0 3909 26 11727 14 8935 8 4 4 31 6 12277 7 9 6701 46 19 9 10471 40 23 25 44 8 5 7 8 4747 4 42 22 12 8376 5 
17 2234 5 10 3350 11 9 6 10 8 4467 10 12 4 12 11 12 3909 0 7259 10 14 10 28 7 7259 6980 2 10 16 9 6 23 4 5 8 6143 14 11 9388 4 2 9 7550 7 4 9 26 18 8 23 
18 9 11 12 4467 14804 18 18 11 16 6 18 12844 7259 41 14798 34 26 7259 0 59 19545 15 13 7818 15 3 9 18 52 58 12564 8097 4 17 32 16 71 20 14 7 23 10889 12 11 3909 17332 18 64 18 5 
19 7 10436 19 23 9 7 18 3 6 13360 10110 26 15 19 2 5 11727 10 59 0 9 35 12 12 15356 34 12 5416 13 11 9 15 16 22 6 2 8 8 33 15 36 14 13 12 11448 9 5 31 27 16 
20 13 12 7106 19 10471 2665 9 8660 7 17 42 18776 15 15 12 2220 14 14 19545 9 0 20 10 12435 23 15543 11168 7944 28 8 6 51 12879 19 43 8 3 5 79 13 56 24 11 11102 20 9 22 4 5 16 
21 7539 5 4 11 16 2887 6 33 8 14 38 21 44 20 10436 5 8935 10 15 35 20 0 5 10 15 25 37 33 2 3 3 26 10 5329 9749 8438 3 4 19137 10880 12 7 7 6 14 8 42 3 4 14 
22 13 2 3553 9 10471 6439 5 9770 19 10214 11991 13101 10 30 12435 10 8 28 13 12 10 5 0 4663 11 11 8 12638 2 13 4663 28 36 4 52 13 8 30 14 13 33 3 5 5 12 21 17 21 5107 9 
23 9 11 11 6 12 20 4885 9770 10436 9 10436 25 8 18 16 23 4 7 7818 12 12435 10 4663 0 4 16 8 15887 7 9104 7106 11546 12 4 58 10880 13 14 23 8 7 10 12 4 25 14082 15165 9104 33 2792 
24 9 14 9214 5 17 30 8 13 15 7 11168 15 8097 20 63 32 4 7259 15 15356 23 15 11 4 0 7 19 17332 10610 17 11 14 6 8 16 13402 32 33 12844 16 27 9 34 28 4 32 15887 57 14 1954 
25 37 9326 17 5 18 14 14 14 61 5 17 17 6143 38 16 13 31 6980 3 34 15543 25 11 16 7 0 8 19 20 11324 17 13 5 26 14443 29 18 14433 14 5 5305 21 12 11 6 21 14 15 11769 7259 
26 2 6661 6 5584 3972 16 5 3 16 5305 8 8 4 8305 6 8376 6 2 9 12 11168 37 8 8 19 8 0 8 8376 25 5584 14 6 12 4 16 13 40 29 19 3071 11 18 7994 5584 6499 7 8935 14 8 
27 23 16 7222 12638 3611 6 10 23 4 14 16 14 9388 2528 9 4 12277 10 18 5416 7944 33 12638 15887 17332 19 8 0 9388 2889 6 17332 17 13 2528 12 8666 6860 12 52 10 18 18 19 26 2166 6 6860 20 31 
28 6701 4 11 8935 7583 18 6 41 10 19 18054 75 10 48 55 8 7 16 52 13 28 2 2 7 10610 20 8376 9388 0 17 7 21665 16 5 11 44 4 6 23 20 11 6 5 5 9493 29 10832 7 12 9 
29 6 7 14 10051 3972 5 4441 7 4 9326 59 16 8376 5 7 2 9 9 58 11 8 3 13 9104 17 11324 25 2889 17 0 8 19 18 6 20 5329 4 3 14 10 18 36 11 32 12 1444 6 10 1 46 
30 5 5 2 8 3 2887 3350 6980 6143 17 58 14443 7 8 11 4219 6701 6 12564 9 6 3 4663 7106 11 17 5584 6 7 8 0 18 49 5 22 29 17 9 29 52 8 8 13 7 35 4 7 6 6 12 
31 27 13 23 18 15526 27 15 12 16 6138 6 19 11 18415 12999 24 46 23 8097 15 51 26 28 11546 14 13 14 17332 21665 19 18 0 17 68 16 51 31 27 26 6 9388 27 18 52 10 22 16 91 21 13 
32 12 9 11 9 12 41 8 40 11915 2528 7944 51 5 17 58 10880 19 4 4 16 12879 10 36 12 6 5 6 17 16 18 49 17 0 9 22 12 13 15 10 3611 9 8 11 7550 3 16 11193 10436 9104 6 
33 4747 1776 2792 18 7 6661 2234 35 18 43 56 16609 13 16 12564 16 9 5 17 22 19 5329 4 4 8 26 12 13 5 6 5 68 9 0 10 10 7328 7994 17 22 5863 3997 3997 3 6 35 11 6 5 5 
34 7 11915 14 42 2528 14 13 4 10 22 12 9027 26 6 7222 7222 10471 8 32 6 43 9749 52 58 16 14443 4 2528 11 20 22 16 22 10 0 5 14 10 38 40 8 32 62 56 22 7 3 9027 27 13721 
35 5026 11 8376 19 6 7 9 4 4 12 9 5416 11 7 8 5773 40 6143 16 2 8 8438 13 10880 13402 29 16 12 44 5329 29 51 12 10 5 0 36 16 6 9388 28 48 15 10880 9 7 3 10 13 12 
36 9214 7550 7 13402 12 9 7 8882 10 16 21 22 13 19 10436 4 23 14 71 8 3 3 8 13 32 18 13 8666 4 4 17 31 13 7328 14 36 0 2 20220 49 13 12 9 35 14 7222 13 1332 2665 13960 
37 8935 8438 7 17 9 2 7328 7994 8 12213 78 23 12 29 9 2 25 11 20 8 5 4 30 14 33 14433 40 6860 6 3 9 27 15 7994 10 16 2 0 18776 15 26 13 11 11 57 26 40 2 2887 14798 
38 38 22 14804 12 11193 17 15 12 8 7944 2528 4 14 25 7 16 44 9388 14 33 79 19137 14 23 12844 14 29 12 23 14 29 26 10 17 38 6 20220 18776 0 8 8305 15 13545 12435 35 12999 11 37 18 12285 
39 8 9 14 5 10471 12 19 8 10471 1444 3972 36 3 16 14 43 8 4 7 15 13 10880 13 8 16 5 19 52 20 10 52 6 3611 22 40 9388 49 15 8 0 3 20 10658 11 17 12999 12 12 9326 9 
40 16 6439 7 3 30 10889 9 5584 14 2513 7 21 2 12638 9 14 5 2 23 36 56 12 33 7 27 5305 3071 10 11 18 8 9388 9 5863 8 28 13 26 8305 3 0 8216 11 15 3 40 7944 45 9 5863 
41 16 5 7 10 13360 38 6 14 14 39 25 18 36 38 18 11102 7 9 10889 14 24 7 3 10 9 21 11 18 6 36 8 27 8 3997 32 48 12 13 15 20 8216 0 1 1 18 14 18 8438 32 7 
42 7994 3 21 35 13 8882 5773 12 22 11 25 18 37 23 56 43 8 7550 12 13 11 7 5 12 34 12 18 18 5 11 13 18 11 3997 62 15 9 11 13545 10658 11 1 0 1 11 14 16248 16 7328 6701 
43 9 1332 5 7259 24 17 5 11 20 11 12 27 8216 69 52 10214 4747 7 11 12 11102 6 5 4 28 11 7994 19 5 32 7 52 7550 3 56 10880 35 11 12435 11 15 1 1 0 10 12638 15 8 7106 5 
44 6 7259 29 838 10 15 5 8097 12 3350 15 42 5 62 46 52 4 4 3909 11448 20 14 12 25 4 6 5584 26 9493 12 35 10 3 6 22 9 14 57 35 17 3 18 11 10 0 12 11 24 13 3630 
45 6 12 5055 12 3 4 12 9 22 13360 13 12638 18 19 10471 4694 42 9 17332 9 9 8 21 14082 32 21 6499 2166 29 1444 4 22 16 35 7 7 7222 26 12999 12999 40 14 14 12638 12 0 17 5 4 13721 
46 4 51 8 14 4 9 8 3 2 11 10 10 6 5 6499 30 22 26 18 5 22 42 17 15165 15887 14 7 6 10832 6 7 16 11193 11 3 3 13 40 11 12 7944 18 16248 15 11 17 0 9749 30 56 
47 8 6217 15 46 14 2 5551 7772 6661 12 23 18 10889 8 10 3331 12 18 64 31 4 3 21 9104 57 15 8935 6860 7 10 6 91 10436 6 9027 10 1332 2 37 12 45 8438 16 8 24 5 9749 0 1 12285 
48 22 12 6 13 20 1554 4219 26 5551 19 18 18 10 27 11 3 8376 8 18 27 5 4 5107 33 14 11769 14 20 12 1 6 21 9104 5 27 13 2665 2887 18 9326 9 32 7328 7106 13 4 30 1 0 22 
49 9 5026 15 3 24 16 5863 44 13 6980 12 56 8 18 16 57 5 23 5 16 16 14 9 2792 1954 7259 8 31 9 46 12 13 6 5 13721 12 13960 14798 12285 9 5863 7 6701 5 3630 13721 56 12285 22 0 

;param cto[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49:=
0 0 46 44 45 39 42 43 44 40 42 42 43 40 42 43 43 41 39 48 42 44 43 43 43 48 44 39 41 42 41 40 44 42 41 40 41 44 44 42 42 40 44 44 43 41 40 44 42 41 43 
1 46 0 40 42 42 44 41 49 45 44 46 51 43 49 51 45 44 46 44 46 46 46 43 40 42 45 43 44 40 47 42 47 43 39 44 46 44 45 47 45 43 40 40 39 42 43 44 43 42 41 
2 44 40 0 46 40 41 43 43 42 44 49 46 42 46 45 42 41 41 45 44 44 40 41 42 44 45 45 41 40 41 43 47 47 40 41 43 42 42 45 44 46 42 42 42 42 40 45 41 40 42 
3 45 42 46 0 42 49 41 47 44 40 43 45 40 45 49 46 39 40 41 45 47 49 47 41 40 45 41 44 44 44 47 44 39 41 43 44 46 47 44 41 40 43 43 42 38 47 43 45 44 44 
4 39 42 40 42 0 41 40 40 40 43 43 43 41 41 43 41 42 40 45 42 43 42 43 48 45 45 40 40 42 40 43 46 43 45 39 45 42 46 43 43 42 44 48 44 46 39 39 41 40 44 
5 42 44 41 49 41 0 42 43 42 46 46 46 44 41 44 39 44 47 48 43 40 40 43 46 47 48 43 40 41 39 40 49 46 43 41 43 40 43 50 46 45 46 45 45 46 44 42 39 39 46 
