set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15;
set K:= 1 2 3 4 5 6 7 8;
param V:= 8;
param cp:= 35;
param dm:= 2.0;
param o:=
0 0
1 19
2 30
3 16
4 23
5 11
6 31
7 15
8 28
9 8
10 8
11 7
12 14
13 6
14 19
15 11
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15:=
0 0 3 5 9 10 6 4 5 8935 14 18 8 16 10471 8 8097 
1 3 0 3 4219 3 7 9 4 4441 7 2 4 18 5 7 6 
2 5 3 0 4 6143 6 4 2234 4 5055 2 16 5026 3 17 26 
3 9 4219 4 0 7 9 11 6 1954 17 2665 14 10 7 10 17 
4 10 3 6143 7 0 16 10 8097 8 52 3 2 3630 12 64 3 
5 6 7 6 9 16 0 4333 6 28 19 5773 17 9772 7 4 12 
6 4 9 4 11 10 4333 0 4 16 29 5777 11 38 7 7583 10 
7 5 4 2234 6 8097 6 4 0 4747 3611 16 40 8 4 6 8655 
8 8935 4441 4 1954 8 28 16 4747 0 12 4 9 9 5 17 6 
9 14 7 5055 17 52 19 29 3611 12 0 7 19 10 3 5416 20 
10 18 2 2 2665 3 5773 5777 16 4 7 0 4 2792 4 9 7 
11 8 4 16 14 2 17 11 40 9 19 4 0 6 16 23 3 
12 16 18 5026 10 3630 9772 38 8 9 10 2792 6 0 7 47 7 
13 10471 5 3 7 12 7 7 4 5 3 4 16 7 0 7583 8097 
14 8 7 17 10 64 4 7583 6 17 5416 9 23 47 7583 0 12844 
15 8097 6 26 17 3 12 10 8655 6 20 7 3 7 8097 12844 0 

;param cto[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15:=
0 0 44 45 47 42 42 44 46 44 44 41 43 43 43 43 43 
1 44 0 40 41 40 42 40 45 41 42 39 45 41 45 47 41 
2 45 40 0 44 42 41 43 39 40 40 43 43 41 43 42 42 
3 47 41 44 0 42 47 42 46 39 42 40 42 39 41 48 40 
4 42 40 42 42 0 44 42 43 42 44 40 39 40 43 46 39 
5 42 42 41 47 44 0 40 39 42 40 42 46 44 41 39 45 
6 44 40 43 42 42 40 0 40 42 41 41 47 42 41 42 47 
7 46 45 39 46 43 39 40 0 41 40 41 44 43 39 40 43 
8 44 41 40 39 42 42 42 41 0 41 40 47 41 40 43 46 
9 44 42 40 42 44 40 41 40 41 0 42 46 43 43 40 44 
10 41 39 43 40 40 42 41 41 40 42 0 41 40 45 44 40 
11 43 45 43 42 39 46 47 44 47 46 41 0 41 44 47 43 
12 43 41 41 39 40 44 42 43 41 43 40 41 0 46 45 39 
13 43 45 43 41 43 41 41 39 40 43 45 44 46 0 42 43 
14 43 47 42 48 46 39 42 40 43 40 44 47 45 42 0 46 
15 43 41 42 40 39 45 47 43 46 44 40 43 39 43 46 0 

;param d[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15:=
0 0.0 0 0 0 0.37 0 0 0 3.01 1.25 0.78 0 1.13 3.67 0 2.73 
1 0 0.0 0 1.17 0 0 0.74 0 1.23 0 0 0 0.99 0 0 0.28 
2 0 0 0.0 0 2.07 0.27 0 0.75 0.2 1.77 0 1.13 1.69 0 1.42 1.42 
3 0 1.17 0 0.0 0 0 0.98 0 0.66 1.48 0.74 0.98 0.55 0.28 0 0.92 
4 0.37 0 2.07 0 0.0 1.37 0.9 2.73 0 3.39 0 0 1.22 0.5 4.14 0.15 
5 0 0 0.27 0 1.37 0.0 1.52 0.49 1.54 1.22 1.6 0.72 3.29 0.63 0.31 0 
6 0 0.74 0 0.98 0.9 1.52 0.0 0.17 1.36 1.88 2.03 0 2.45 0.28 2.66 0 
7 0 0 0.75 0 2.73 0.49 0.17 0.0 1.6 1.27 0.7 2.22 0 0.35 0.25 2.92 
8 3.01 1.23 0.2 0.66 0 1.54 1.36 1.6 0.0 0.99 0 0 0.63 0.39 1.21 0 
9 1.25 0 1.77 1.48 3.39 1.22 1.88 1.27 0.99 0.0 0 1.68 0 0 1.9 1.41 
10 0.78 0 0 0.74 0 1.6 2.03 0.7 0 0 0.0 0 0.94 0 0 0.51 
11 0 0 1.13 0.98 0 0.72 0 2.22 0 1.68 0 0.0 0.27 1.41 1.99 0 
12 1.13 0.99 1.69 0.55 1.22 3.29 2.45 0 0.63 0 0.94 0.27 0.0 0 2.59 0.37 
13 3.67 0 0 0.28 0.5 0.63 0.28 0.35 0.39 0 0 1.41 0 0.0 2.66 2.73 
14 0 0 1.42 0 4.14 0.31 2.66 0.25 1.21 1.9 0 1.99 2.59 2.66 0.0 4.33 
15 2.73 0.28 1.42 0.92 0.15 0 0 2.92 0 1.41 0.51 0 0.37 2.73 4.33 0.0 

;
