set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49;
set K:= 1 2 3 4 5 6 7;
param V:= 7;
param cp:= 150;
param dm:= 2.0;
param o:=
0 0
1 18
2 26
3 11
4 30
5 21
6 19
7 15
8 16
9 29
10 26
11 37
12 16
13 12
14 31
15 8
16 19
17 20
18 13
19 15
20 22
21 28
22 12
23 6
24 27
25 14
26 18
27 17
28 29
29 13
30 22
31 25
32 28
33 27
34 19
35 10
36 12
37 14
38 24
39 16
40 33
41 15
42 11
43 18
44 17
45 21
46 27
47 19
48 20
49 5
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49:=
0 0 9 5 7 4 11 3 5 5416 10 23 8 9 6143 12 9749 9 2889 12 9 16 9749 22 14 12 48 2 18 8666 7 6 16 16 6138 6 6499 11915 11554 23 10 20 26 12999 14 8 4 3 10 29 11 
1 9 0 6 5107 9 9 12 11 11168 10 13 12 45 12 15 11 3 9 9 13123 12 8 2 11 11 9326 10832 12 6 7 8 13 9 1776 9214 13 7550 8438 22 9 10471 5 3 1332 5773 9 39 10110 19 3997 
2 5 6 0 9 4333 8 3 9749 12 12277 14 31 9027 10 29 38 6499 13 16 25 11554 7 5777 18 11915 17 7 7222 14 23 3 23 11 3611 14 10832 11 12 14804 14 9 11 35 8 38 5055 8 25 9 19 
3 7 5107 9 0 8 15 7 8 9493 10 6217 17 22 13 12 66 6 4333 5777 23 24 14 7 8 6 7 7222 9772 11554 12999 10 14 12 14 32 19 17332 22 9 7 4 8 28 5773 1083 9 10 59 16 4 
4 4 9 4333 8 0 6 4 4188 4 34 10 11 5026 5 30 7 27 8 11448 7 8097 16 8097 9 13 14 3071 2792 7583 3071 3 12006 9 5 1954 5 9 7 8655 8097 23 10331 10 18 8 2 3 14 20 18 
5 11 9 8 15 6 0 9388 17 28 54 10658 11 12999 6 13 2 13360 12 18 9 2665 4694 6439 32 38 18 21 4 29 5 4694 17 51 6661 11 9 9 2 10 15 14082 38 8882 17 15 3 7 3 2528 21 
6 3 12 3 7 4 9388 0 9 17 36 7106 8 25 9 13360 11 5 7 23 23 15 10 9 7944 11 14 6 8 8 7222 4333 9 8 2889 10 12 11 11915 9 19 12 10 9388 8 6 9 6 9027 6860 7583 
7 5 11 9749 8 4188 17 9 0 1954 6980 16 13 6 7 4 7818 9 13 11 3 10889 53 12285 12285 13 11 3 18 53 8 9027 7 31 35 3 6 11168 10051 7 6 7222 17 16 14 8097 7 2 12638 42 44 
8 5416 11168 12 9493 4 28 17 1954 0 18 6 4 14 4 7 6 10 10 16 8 9 13 24 13123 15 47 20 3 13 5 7944 10 9214 18 8 6 12 10 5 8097 18 18 28 26 12 17 1 10832 9027 13 
9 10 10 12277 10 34 54 36 6980 18 0 4 8 5 12 10051 28 33 5777 6 10331 21 22 10214 15 9 3 6860 11 19 11727 17 3775 1954 27 17 9 20 15356 4885 1117 3250 39 11 11 3350 10331 8 20 31 9027 
10 23 13 14 6217 10 10658 7106 16 6 4 0 4 3331 11 6 21 10 6 14 6217 26 38 11991 10436 8882 10 5 12 18054 36 58 4 4885 35 9 6 13 48 1554 2443 4 25 25 12 12 10 8 23 18 10 
11 8 12 31 17 11 11 8 13 4 8 4 0 7 10 3 9 9770 7 10214 16 11546 21 13101 25 12 11 5 11 75 10 14443 12 31 10214 6980 3331 14 14 2 22 13 18 18 27 34 9772 8 18 18 44 
12 9 45 9027 22 5026 12999 25 6 14 5 3331 7 0 9 39 55 29 5 9388 19 19 56 16 13 10471 7944 5 7259 13 10832 9 7 6 17 20 14 16 16 8 4 2 59 61 13360 6 14 5 14082 13 10 
13 6143 12 10 13 5 6 9 7 4 12 11 10 9 0 6143 3071 11448 9 32 15 12 20 23 14 15 30 6422 1954 48 4 8 14240 13 13 5 6 15 22 19 12 9772 30 18 54 48 15 4 8 27 14 
14 12 15 29 12 30 13 13360 4 7 10051 6 3 39 6143 0 9214 51 14 14798 3 15 16971 15636 20 63 13 8 7 71 9 14 7994 45 12564 5584 10 13123 12 4 11 12 22 70 66 46 8097 5026 16 17 16 
15 9749 11 38 66 7 2 11 7818 6 28 21 9 55 3071 9214 0 19 16 34 7 2220 8 10 37 42 17 10832 3 13 2 6860 15 13681 16 5584 7259 4 2 10 54 19 11102 43 10214 52 3630 23 5416 5 74 
16 9 3 6499 6 27 13360 5 9 10 33 10 9770 29 11448 51 19 0 5055 33 11727 18 11554 6 5 5 40 8 9493 9 12 8666 36 25 7 8097 40 30 32 35 10 6 5 6 3775 5 32 17 16 10832 6 
17 2889 9 13 4333 8 12 7 13 10 5777 6 7 5 9 14 16 5055 0 9388 13 18 13 45 11 9388 9027 3 7 20 12 7 14 5 6 6 7944 18 14 5773 6 2 15 12277 11 5 7 20 24 11 30 
18 12 9 16 5777 11448 18 23 11 16 6 14 10214 9388 32 14798 34 33 9388 0 59 19545 20 10 10110 19 3 12 14 68 58 16248 6439 4 14 25 16 71 20 11 7 30 8660 9 9 3909 13402 14 82 23 6 
19 9 13123 25 23 7 9 23 3 8 10331 6217 16 19 15 3 7 11727 13 59 0 12 56 16 15 15356 26 15 4188 16 13 12 9 12 22 4 2 11 10 20 12 46 18 16 15 11448 7 4 51 43 16 
20 16 12 11554 24 8097 2665 15 10889 9 21 26 11546 19 12 15 2220 18 18 19545 12 0 32 10 20220 29 19545 14443 6143 45 8 10 32 16194 19 34 10 3 5 49 16 72 24 11 11102 20 7 17 6 9 21 
21 9749 8 7 14 16 4694 10 53 13 22 38 21 56 20 16971 8 11554 13 20 56 32 0 8 16 19 41 48 33 3 5 5 26 16 8666 9749 13721 5 6 19137 17693 16 12 12 10 19 8 42 4 6 18 
22 22 2 5777 7 8097 6439 9 12285 24 10214 11991 13101 16 23 15636 10 6 45 10 16 10 8 0 4663 9 11 13 9772 4 13 7583 28 36 4 40 16 8 30 14 13 53 3 5 5 10 16 13 35 8305 7 
23 14 11 18 8 9 32 7944 12285 13123 15 10436 25 13 14 20 37 5 11 10110 15 20220 16 4663 0 5 26 14 12285 12 14804 11554 11546 19 4 45 13681 21 23 23 13 12 10 12 4 32 10889 11727 14804 53 3611 
24 12 11 11915 6 13 38 11 13 15 9 8882 12 10471 15 63 42 5 9388 19 15356 29 19 9 5 0 9 25 13402 13721 22 14 11 8 6 12 13402 41 43 10214 20 35 7 27 22 6 25 12285 74 18 2528 
25 48 9326 17 7 14 18 14 11 47 3 10 11 7944 30 13 17 40 9027 3 26 19545 41 11 26 9 0 11 15 20 14240 17 8 4 16 11168 22 23 18149 8 4 6860 21 12 11 6 16 11 24 19137 9388 
26 2 10832 7 7222 3071 21 6 3 20 6860 5 5 5 6422 8 10832 8 3 12 15 14443 48 13 14 25 11 0 6 10832 32 7222 9 8 16 3 20 17 52 18 25 3972 19 30 12999 7222 5026 6 11554 18 11 
27 18 12 7222 9772 2792 4 8 18 3 11 12 11 7259 1954 7 3 9493 7 14 4188 6143 33 9772 12285 13402 15 6 0 9388 2234 6 13402 13 10 1954 9 6701 5305 9 40 8 14 14 14 20 1675 4 6860 20 24 
28 8666 6 14 11554 7583 29 8 53 13 19 18054 75 13 48 71 13 9 20 68 16 45 3 4 12 13721 20 10832 9388 0 27 9 21665 16 7 11 56 7 10 23 20 14 9 8 9 12277 29 10832 11 19 11 
29 7 7 23 12999 3071 5 7222 8 5 11727 36 10 10832 4 9 2 12 12 58 13 8 5 13 14804 22 14240 32 2234 27 0 13 12 22 6 16 6701 4 3 9 12 23 36 11 32 12 1117 4 16 2 59 
30 6 8 3 10 3 4694 4333 9027 7944 17 58 14443 9 8 14 6860 8666 7 16248 12 10 5 7583 11554 14 17 7222 6 9 13 0 18 49 6 22 38 27 14 29 52 11 13 22 11 45 4 7 9 10 15 
31 16 13 23 14 12006 17 9 7 10 3775 4 12 7 14240 7994 15 36 14 6439 9 32 26 28 11546 11 8 9 13402 21665 12 18 0 11 42 12 31 19 17 16 4 5773 27 18 52 8 17 12 91 21 10 
32 16 9 11 12 9 51 8 31 9214 1954 4885 31 6 13 45 13681 25 5 4 12 16194 16 36 19 8 4 8 13 16 22 49 11 0 5 17 9 16 18 6 2792 12 8 11 7550 3 13 8655 16971 14804 7 
33 6138 1776 3611 14 5 6661 2889 35 18 27 35 10214 17 13 12564 16 7 6 14 22 19 8666 4 4 6 16 16 10 7 6 6 42 5 0 8 10 7328 7994 10 14 7583 3997 3997 3 5 27 9 10 8 4 
34 6 9214 14 32 1954 11 10 3 8 17 9 6980 20 5 5584 5584 8097 6 25 4 34 9749 40 45 12 11168 3 1954 11 16 22 12 17 8 0 4 10 8 29 31 6 25 48 44 17 6 2 9027 27 10610 
35 6499 13 10832 19 5 9 12 6 6 9 6 3331 14 6 10 7259 40 7944 16 2 10 13721 16 13681 13402 22 20 9 56 6701 38 31 9 10 4 0 45 20 4 7259 36 60 18 13681 9 6 2 16 21 12 
36 11915 7550 11 17332 9 9 11 11168 12 20 13 14 16 15 13123 4 30 18 71 11 3 5 8 21 41 23 17 6701 7 4 27 19 16 7328 10 45 0 2 12435 61 17 12 9 35 14 5584 10 2166 4333 18054 
37 11554 8438 12 22 7 2 11915 10051 10 15356 48 14 16 22 12 2 32 14 20 10 5 6 30 23 43 18149 52 5305 10 3 14 17 18 7994 8 20 2 0 11546 19 33 13 11 11 57 20 31 4 4694 19137 
38 23 22 14804 9 8655 10 9 7 5 4885 1554 2 8 19 4 10 35 5773 11 20 49 19137 14 23 10214 8 18 9 23 9 29 16 6 10 29 4 12435 11546 0 5 5107 15 13545 12435 28 10051 8 37 18 9770 
39 10 9 14 7 8097 15 19 6 8097 1117 2443 22 4 12 11 54 10 6 7 12 16 17693 13 13 20 4 25 40 20 12 52 4 2792 14 31 7259 61 19 5 0 4 20 10658 11 17 10051 9 20 15165 11 
40 20 10471 9 4 23 14082 12 7222 18 3250 4 13 2 9772 12 19 6 2 30 46 72 16 53 12 35 6860 3972 8 14 23 11 5773 12 7583 6 36 17 33 5107 4 0 13360 18 25 4 31 6143 58 12 7583 
41 26 5 11 8 10331 38 10 17 18 39 25 18 59 30 22 11102 5 15 8660 18 24 12 3 10 7 21 19 14 9 36 13 27 8 3997 25 60 12 13 15 20 13360 0 1 1 14 11 14 13721 52 6 
42 12999 3 35 28 10 8882 9388 16 28 11 25 18 61 18 70 43 6 12277 9 16 11 12 5 12 27 12 30 14 8 11 22 18 11 3997 48 18 9 11 13545 10658 18 1 0 1 8 11 12564 25 11915 5329 
43 14 1332 8 5773 18 17 8 14 26 11 12 27 13360 54 66 10214 3775 11 9 15 11102 10 5 4 22 11 12999 14 9 32 11 52 7550 3 44 13681 35 11 12435 11 25 1 1 0 8 9772 11 12 11554 4 
44 8 5773 38 1083 8 15 6 8097 12 3350 12 34 6 48 46 52 5 5 3909 11448 20 19 10 32 6 6 7222 20 12277 12 45 8 3 5 17 9 14 57 28 17 4 14 8 8 0 9 8 31 17 4694 
45 4 9 5055 9 2 3 9 7 17 10331 10 9772 14 15 8097 3630 32 7 13402 7 7 8 16 10889 25 16 5026 1675 29 1117 4 17 13 27 6 6 5584 20 10051 10051 31 11 11 9772 9 0 13 5 4 10610 
46 3 39 8 10 3 7 6 2 1 8 8 8 5 4 5026 23 17 20 14 4 17 42 13 11727 12285 11 6 4 10832 4 7 12 8655 9 2 2 10 31 8 9 6143 14 12564 11 8 13 0 9749 30 44 
47 10 10110 25 59 14 3 9027 12638 10832 20 23 18 14082 8 16 5416 16 24 82 51 6 4 35 14804 74 24 11554 6860 11 16 9 91 16971 10 9027 16 2166 4 37 20 58 13721 25 12 31 5 9749 0 2 15887 
48 29 19 9 16 20 2528 6860 42 9027 31 18 18 13 27 17 5 10832 11 23 43 9 6 8305 53 18 19137 18 20 19 2 10 21 14804 8 27 21 4333 4694 18 15165 12 52 11915 11554 17 4 30 2 0 28 
49 11 3997 19 4 18 21 7583 44 13 9027 10 44 10 14 16 74 6 30 6 16 21 18 7 3611 2528 9388 11 24 11 59 15 10 7 4 10610 12 18054 19137 9770 11 7583 6 5329 4 4694 10610 44 15887 28 0 

;param cto[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49:=
0 0 46 44 45 39 42 43 44 40 42 42 43 40 42 43 43 41 39 48 42 44 43 43 43 48 44 39 41 42 41 40 44 42 41 40 41 44 44 42 42 40 44 44 43 41 40 44 42 41 43 
1 46 0 40 42 42 44 41 49 45 44 46 51 43 49 51 45 44 46 44 46 46 46 43 40 42 45 43 44 40 47 42 47 43 39 44 46 44 45 47 45 43 40 40 39 42 43 44 43 42 41 
2 44 40 0 46 40 41 43 43 42 44 49 46 42 46 45 42 41 41 45 44 44 40 41 42 44 45 45 41 40 41 43 47 47 40 41 43 42 42 45 44 46 42 42 42 42 40 45 41 40 42 
3 45 42 46 0 42 49 41 47 44 40 43 45 40 45 49 46 39 40 41 45 47 49 47 41 40 45 41 44 44 44 47 44 39 41 43 44 46 47 44 41 40 43 43 42 38 47 43 45 44 44 
4 39 42 40 42 0 41 40 40 40 43 43 43 41 41 43 41 42 40 45 42 43 42 43 48 45 45 40 40 42 40 43 46 43 45 39 45 42 46 43 43 42 44 48 44 46 39 39 41 40 44 
5 42 44 41 49 41 0 42 43 42 46 46 46 44 41 44 39 44 47 48 43 40 40 43 46 47 48 43 40 41 39 40 49 46 43 41 43 40 43 50 46 45 46 45 45 46 44 42 39 39 46 
