set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;
set K:= 1 2;
param V:= 2;
param cp:= 160;
param dm:= 2.0;
param o:=
0 0
1 7
2 30
3 16
4 23
5 11
6 19
7 15
8 28
9 8
10 8
11 7
12 14
13 6
14 19
15 11
16 12
17 26
18 17
19 6
20 15
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20:=
0 0 5 8 12 16 10 4 8 11554 14 29 13 21 10471 14 10471 5 11193 14 17 7 
1 5 0 3 6860 3 11 7 4 7222 7 2 4 18 5 12 6 1 11 8 8655 6 
2 8 3 0 3 4885 4 2 1776 3 3109 2 13 5026 2 10 26 2443 9 5 11 3109 
3 12 6860 3 0 8 11 11 5 2528 11 4333 18 10 4 13 17 16 11554 3611 9 13 
4 16 3 4885 8 0 10 8 6439 10 32 3 2 3630 7 39 3 15 18 6883 9 8376 
5 10 11 4 11 10 0 3350 4 36 12 9388 11 9772 4 4 12 6860 3 12 15 1954 
6 4 7 2 11 8 3350 0 2 16 18 4467 8 29 4 5863 8 2 11 16 20 2 
7 8 4 1776 5 6439 4 2 0 3775 2220 16 32 8 2 4 8655 3 5 5 7 1998 
8 11554 7222 3 2528 10 36 16 3775 0 7 6 11 9 3 22 6 8 11 3 17 9 
9 14 7 3109 11 32 12 18 2220 7 0 7 12 10 2 3331 20 21 1998 6 5995 5 
10 29 2 2 4333 3 9388 4467 16 6 7 0 4 2792 4 15 7 3 14 11 6701 12 
11 13 4 13 18 2 11 8 32 11 12 4 0 6 10 14 3 5329 12 7772 32 10331 
12 21 18 5026 10 3630 9772 29 8 9 10 2792 6 0 7 47 7 23 21 5305 11 10 
13 10471 5 2 4 7 4 4 2 3 2 4 10 7 0 4663 8097 4441 4 7 19 8 
14 14 12 10 13 39 4 5863 4 22 3331 15 14 47 4663 0 12844 39 3 12999 15 5 
15 10471 6 26 17 3 12 8 8655 6 20 7 3 7 8097 12844 0 8 15 14 7 9493 
16 5 1 2443 16 15 6860 2 3 8 21 3 5329 23 4441 39 8 0 9388 32 9214 4 
17 11193 11 9 11554 18 3 11 5 11 1998 14 12 21 4 3 15 9388 0 10832 16 5 
18 14 8 5 3611 6883 12 16 5 3 6 11 7772 5305 7 12999 14 32 10832 0 7 8935 
19 17 8655 11 9 9 15 20 7 17 5995 6701 32 11 19 15 7 9214 16 7 0 13 
20 7 6 3109 13 8376 1954 2 1998 9 5 12 10331 10 8 5 9493 4 5 8935 13 0 

;param cto[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20:=
0 0 44 45 47 42 42 44 46 44 44 41 43 43 43 43 43 40 43 49 46 40 
1 44 0 40 41 40 42 40 45 41 42 39 45 41 45 47 41 43 47 43 43 41 
2 45 40 0 44 42 41 43 39 40 40 43 43 41 43 42 42 40 41 41 42 40 
