set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21;
set K:= 1 2;
param V:= 2;
param cp:= 160;
param dm:= 2.0;
param o:=
0 0
1 7
2 30
3 16
4 23
5 11
6 19
7 15
8 28
9 8
10 8
11 7
12 14
13 6
14 19
15 11
16 12
17 26
18 17
19 6
20 15
21 10
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21:=
0 0 4 6 7 10 6 3 5 7106 11 22 8 21 8097 14 10471 3 11193 9 11 4 5773 
1 4 0 4 5305 4 8 7 5 5584 9 2 5 18 6 12 6 2 11 8 8655 6 7 
2 6 4 0 4 6143 5 3 2234 4 3909 3 16 6499 3 17 33 3071 14 5 11 3909 5 
3 7 5305 4 0 8 11 7 8 2528 13 3350 18 13 5 13 22 10 11554 2220 5 13 10 
4 10 4 6143 8 0 12 6 8097 10 40 4 2 4694 9 64 4 15 30 6883 9 8376 20 
5 6 8 5 11 12 0 2665 4 36 15 7259 13 12638 6 4 16 4219 3 8 9 1554 1110 
6 3 7 3 7 6 2665 0 2 10 22 4467 7 38 5 7583 10 2 14 13 16 1 4 
7 5 5 2234 8 8097 4 2 0 6138 2792 20 40 11 3 6 11193 3 9 5 7 1998 4 
8 7106 5584 4 2528 10 36 10 6138 0 9 5 11 12 3 22 8 5 11 2 11 9 8 
9 11 9 3909 13 40 15 22 2792 9 0 9 15 12 2 5416 26 27 3250 6 5995 6 2 
10 22 2 3 3350 4 7259 4467 20 5 9 0 6 2792 5 15 7 4 14 11 6701 12 13 
11 8 5 16 18 2 13 7 40 11 15 6 0 7 13 23 4 5329 19 7772 32 10331 13 
12 21 18 6499 13 4694 12638 38 11 12 12 2792 7 0 9 61 9 30 27 4219 9 13 46 
13 8097 6 3 5 9 6 5 3 3 2 5 13 9 0 7583 10471 5584 6 7 19 10 6 
14 14 12 17 13 64 4 7583 6 22 5416 15 23 61 7583 0 16609 39 3 12999 15 7 3611 
15 10471 6 33 22 4 16 10 11193 8 26 7 4 9 10471 16609 0 10 19 11 6 12277 15 
16 3 2 3071 10 15 4219 2 3 5 27 4 5329 30 5584 39 10 0 9388 26 7328 3 4441 
17 11193 11 14 11554 30 3 14 9 11 3250 14 19 27 6 3 19 9388 0 10832 16 6 2 
18 9 8 5 2220 6883 8 13 5 2 6 11 7772 4219 7 12999 11 26 10832 0 5 7106 6 
19 11 8655 11 5 9 9 16 7 11 5995 6701 32 9 19 15 6 7328 16 5 0 11 28 
20 4 6 3909 13 8376 1554 1 1998 9 6 12 10331 13 10 7 12277 3 6 7106 11 0 10 
21 5773 7 5 10 20 1110 4 4 8 2 13 13 46 6 3611 15 4441 2 6 28 10 0 

;param cto[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21:=
0 0 44 45 47 42 42 44 46 44 44 41 43 43 43 43 43 40 43 49 46 40 42 
