set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22;
set K:= 1 2 3;
param V:= 3;
param cp:= 4500;
param dm:= 5.0;
param o:=
0 0
1 125
2 84
3 60
4 500
5 300
6 175
7 350
8 150
9 1100
10 4100
11 225
12 300
13 250
14 500
15 150
16 100
17 250
18 120
19 600
20 500
21 175
22 75
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22:=
0 0 17 15 18 45 29 13 10 16248 17 48 10 5 10832 22 23470 24 22748 8 17 23 21665 58 
1 17 0 4 3997 22 21 6 16 14433 16 14 9 59 10 10 11 7 13 16 18208 25 37 27 
2 15 4 0 2 18874 21 5 16473 20 14519 13 20 13360 12 12 25 3997 20 14 31 12657 28 17764 
3 18 3997 2 0 23 20 7 19 17542 34 14798 25 65 16 6 19 5 9104 13989 34 16 24 18 
4 45 22 18874 23 0 1 18 9772 4 36 12 17 21303 13 118 32 91 68 28164 45 31271 41 39927 
5 29 21 21 20 1 0 14211 21 18 36 10889 16 21665 15 37 28 22871 34 32 41 31830 22026 40485 
6 13 6 5 7 18 14211 0 13 23 37 7259 5 42 7 10436 11 11 28 25 33 21 40 30 
7 10 16 16473 19 9772 21 13 0 4747 5584 25 27 10 8 23 24291 21 50 12 18 21499 51 30154 
8 16248 14433 20 17542 4 18 23 4747 0 11 8 10 30 10 50 22 20 37 28 120 27 20 70 
9 17 16 14519 34 36 36 37 5584 11 0 2 7 12 3 20661 45 78 25408 20 22337 30 23 32388 
10 48 14 13 14798 12 10889 7259 25 8 2 0 4 9749 1 24 41 22 29 31 21499 45 39 30713 
11 10 9 20 25 17 16 5 27 10 7 4 0 7 3 19 18 14798 22 12285 73 18707 21 27083 
12 5 59 13360 65 21303 21665 42 10 30 12 9749 7 0 9 69 90 74 46 10471 36 22 92 34 
13 10832 10 12 16 13 15 7 8 10 3 1 3 9 0 17869 19824 16752 25 29 83 43 39 60 
14 22 10 12 6 118 37 10436 23 50 20661 24 19 69 17869 0 5107 17 6 18776 21 12 38996 14798 
15 23470 11 25 19 32 28 11 24291 22 45 41 18 90 19824 5107 0 3 8 32 18 12657 31 20 
16 24 7 3997 5 91 22871 11 21 20 78 22 14798 74 16752 17 3 0 6661 57 16209 12 25535 20 
17 22748 13 20 9104 68 34 28 50 37 25408 29 22 46 25 6 8 6661 0 22387 28 11 49 48 
18 8 16 14 13989 28164 32 25 12 28 20 31 12285 10471 29 18776 32 57 22387 0 32 10331 21 19 
19 17 18208 31 34 45 41 33 18 120 22337 21499 73 36 83 21 18 16209 28 32 0 10 103 16 
20 23 25 12657 16 31271 31830 21 21499 27 30 45 18707 22 43 12 12657 12 11 10331 10 0 139 9 
21 21665 37 28 24 41 22026 40 51 20 23 39 21 92 39 38996 31 25535 49 21 103 139 0 56 
22 58 27 17764 18 39927 40485 30 30154 70 32388 30713 27083 34 60 14798 20 20 48 19 16 9 56 0 

;param cto[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22:=
0 0 50 49 50 49 49 48 46 46 44 44 42 39 43 47 49 47 49 46 46 47 49 52 
1 50 0 40 41 52 52 40 52 49 46 45 48 45 48 49 45 47 52 49 53 51 60 59 
2 49 40 0 43 53 53 45 48 51 47 50 44 44 49 43 43 41 46 48 50 48 56 52 
3 50 41 43 0 55 58 43 54 52 49 47 46 46 47 46 42 40 45 49 51 48 61 56 
