set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29;
set K:= 1 2 3;
param V:= 3;
param cp:= 4500;
param dm:= 2.0;
param o:=
0 0
1 300
2 3100
3 125
4 100
5 200
6 150
7 150
8 450
9 300
10 100
11 950
12 125
13 150
14 150
15 550
16 150
17 100
18 150
19 400
20 300
21 1500
22 100
23 300
24 500
25 800
26 300
27 100
28 150
29 1000
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29:=
0 0 14 16 9 24 22 12 16 8660 12 29 10 16 12844 11 10331 15 10658 2 6 8 5107 19 3 23 92 11 98 13323 23 
1 14 0 8 4441 3 5 4 33 28200 37 33 27 111 29 29 34 28 31 18 16971 19 17 14 65 5 4694 11193 12 20 5 
2 16 8 0 6 3630 4 7 31830 33 27921 25 51 25966 28 52 104 27642 58 20 31 13721 18 10832 37 11193 14 13 17693 69 51 
3 9 4441 6 0 3 6 4 27 22616 49 20941 44 88 27 23 86 46 25129 11324 19 10 13 6 13 10 9 9388 12999 15526 7944 
4 24 3 3630 3 0 3 3 30992 29 111 27 32 25687 31 106 31 107 58 14211 18 12638 30 10471 14 8 10 12277 12638 17693 7944 
5 22 5 4 6 3 0 5026 68 115 122 27083 31 28200 38 36 31 29317 31 23 20 16248 16654 13721 42 15 10 23 16 63 39 
6 12 4 7 4 3 5026 0 34 52 112 24291 25 103 30 26804 25 33 58 28 28 15 20 13 14655 3 5 11 11 17 3611 
7 16 33 31830 27 30992 68 34 0 7539 5584 28 26 7 4 9 5863 4 9 14 20 21220 66 23453 13402 47 46 26 166 108 49 
8 8660 28200 33 22616 29 115 52 7539 0 4 3 3 4 7 2 5 6 4 8 79 21 8 46 6217 41 147 118 38 33 35 
9 12 37 27921 49 111 122 112 5584 4 0 5 3 2 4 2234 9 19 1117 10 21665 29 11 25636 9 39 48 31414 40 43 36830 
10 29 33 25 20941 27 27083 24291 28 3 5 0 1 1396 4 5 4 4 6 11 17332 38 15 21303 5107 33941 68 29 43 29608 129 
11 10 27 51 44 32 31 25 26 3 3 1 0 0 4 4 2 3350 4 5995 74 19859 9 22387 12 35 44 28 45 123 37 
12 16 111 25966 88 25687 28200 103 7 4 2 1396 0 0 3 12 10 13 6 6217 38 22 33 25 7 35746 35746 56 36469 31 33941 
13 12844 29 28 27 31 38 30 4 7 4 4 4 3 0 6143 2513 838 4 21 66 36 27 40 10 38 74 22616 37552 97 35 
14 11 29 52 23 106 36 26804 9 2 2234 5 4 12 6143 0 5584 26 4 6883 20 27 7328 23470 8 150 38 30 39 136 36 
15 10331 34 104 86 31 31 25 5863 5 9 4 2 10 2513 5584 0 2 6 16 14 15356 13 22 15 69 34 20382 35 28 36 
16 15 28 27642 46 107 29317 33 4 6 19 4 3350 13 838 26 2 0 4467 38 15636 17 13123 24 10 36 144 21 36108 23 34 
17 10658 31 58 25129 58 31 58 9 4 1117 6 4 6 4 4 6 4467 0 8660 28 27 11 107 9 39718 39718 32 45 70 47 
18 2 18 20 11324 14211 23 28 14 8 10 11 5995 6217 21 6883 16 38 8660 0 36 10110 4 13 444 104 26 12 28 59 97 
19 6 16971 31 19 18 20 28 20 79 21665 17332 74 38 66 20 14 15636 28 36 0 2 31 6 9 16971 35 23 19137 19 31 
20 8 19 13721 10 12638 16248 15 21220 21 29 38 19859 22 36 27 15356 17 27 10110 2 0 31 3 10832 20 16609 11915 19137 72 30 
