set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32;
set K:= 1 2 3 4;
param V:= 4;
param cp:= 8000;
param dm:= 2.0;
param o:=
0 0
1 700
2 400
3 400
4 1200
5 40
6 80
7 2000
8 900
9 600
10 750
11 1500
12 150
13 250
14 1600
15 450
16 700
17 550
18 650
19 200
20 400
21 300
22 1300
23 700
24 750
25 1400
26 4000
27 600
28 1000
29 500
30 2500
31 1700
32 1100
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32:=
0 0 25 12 8 27 17 14 14 15321 19 64 17 25 24914 33 27803 32 30691 20 22 30 22427 46 33 25 134 22 85 21317 21 16 27 30 
1 25 0 9 13721 28 11 18 9 9027 12 11 6 27 2 3 4 20 6 10 9388 19 13 13 74 32 9027 9027 15 17 13 10 4 9 
2 12 9 0 4 11168 4 4 4188 6 5305 6 6 838 6 20 42 27803 27 12 22 19859 17 18415 48 22748 18 17 19498 84 78 9 7 4 
3 8 13721 4 0 10 6 8 7 7550 16 8438 13 20 15 16 68 41 19498 12657 26 33 15 25 35 37 23 13767 15543 15987 14433 11 19 29 
4 27 28 11168 10 0 14 14 11168 13 48 15 16 11448 23 100 31 131 54 19824 25 23733 44 23174 28 34 37 24291 26525 27362 26246 19 17032 14 
5 17 11 4 6 14 0 558 1 7 8 2792 2 2513 9 14 12 28886 13 10 10 17332 11448 16248 44 43 18 35 23 90 88 12006 10 7 
6 14 18 4 8 14 558 0 0 2 6 2234 2 12 8 11554 11 36 26 17 17 18 14 17 21303 23 17 22 25 28 22026 12285 9 1 
7 14 9 4188 7 11168 1 0 0 1117 1117 9 9 4 9 13 11554 29 26 8 9 16609 44 15526 21303 23 18 18 82 90 28 12564 9 6 
8 15321 9027 6 7550 13 7 2 1117 0 1 1 3 8 9 23 11 29 15 9 31 15 11 29 19859 22 59 69 20 22 22 12844 10 1117 
9 19 12 5305 16 48 8 6 1117 1 0 1 3 5 7 11915 22 114 12638 9 7818 19 12 14443 25 19 19 17693 20 28 22387 16 9493 1396 
10 64 11 6 8438 15 2792 2234 9 1 1 0 3 4747 7 14 21 34 14 13 6701 27 17 12999 18415 18054 27 18 24 21303 87 52 12 1396 
11 17 6 6 13 16 2 2 9 3 3 3 0 2 5 11 9 26359 12 7818 32 15887 11 14804 41 19 17 15 23 78 22 10331 13 6 
12 25 27 838 20 11448 2513 12 4 8 5 4747 2 0 6 39 40 110 25 9772 20 20 50 19 26 21665 15526 32 19137 21 19498 9 8 4 
13 24914 2 6 15 23 9 8 9 9 7 7 5 6 0 4333 4333 21665 7 16 33 28 24 25 18 16 19 10471 13360 61 15 10 5416 6 
14 33 3 20 16 100 14 11554 13 23 11915 14 11 39 4333 0 1444 69 5 9388 9 19 12999 12277 21 58 7 6 9 42 10 10 4694 40 
15 27803 4 42 68 31 12 11 11554 11 22 21 9 40 4333 1444 0 22 4 15 8 12999 13 14 31 26 6 6138 9 14 13 10110 7 9749 
16 32 20 27803 41 131 28886 36 29 29 114 34 26359 110 21665 69 22 0 15887 84 20581 22 22026 24 21 16 55 11 8305 7 11 15915 64 108 
17 30691 6 27 19498 54 13 26 26 15 12638 14 12 25 7 5 4 15887 0 6499 8 12 10 33 14 10110 2889 5 8 19 15 13 18 11 
18 20 10 12 12657 19824 10 17 8 9 9 13 7818 9772 16 9388 15 84 6499 0 1 6138 2 5 10471 39 7 12 13 64 74 13681 10051 7 
19 22 9388 22 26 25 10 17 9 31 7818 6701 32 20 33 9 8 20581 8 1 0 7 9 5 10 9388 14 22 12638 17 36 15 10 8 
20 30 19 19859 33 23733 17332 18 16609 15 19 27 15887 20 28 19 12999 22 12 6138 7 0 10 3 5416 9 10110 14443 15165 72 44 26 38 15165 
