set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21;
set K:= 1 2 3 4;
param V:= 4;
param cp:= 6000;
param dm:= 5.0;
param o:=
0 0
1 1100
2 700
3 800
4 1400
5 2100
6 400
7 800
8 100
9 500
10 600
11 1200
12 1300
13 1300
14 300
15 900
16 2100
17 1000
18 900
19 2500
20 1800
21 700
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21:=
0 0 14 13 15 29 16 7 11 5329 12 15 10 8 5777 3 7222 4 7944 10 12 14 11915 
1 14 0 3 6422 9 7 10 7 7259 10 11 14 52 19 16 20 16 20 22 21778 28 23 
2 13 3 0 8 8935 4 5 5305 9 6980 9 31 12285 20 30 59 15915 39 21 44 21220 28 
3 15 6422 8 0 0 7 5 7 4219 16 6217 17 65 16 17 82 35 17590 19265 36 25 20 
4 29 9 8935 0 0 10 5 7550 5 34 7 9 15887 15 68 25 68 34 19265 22 20103 39 
5 16 7 4 7 10 0 3775 2 20 10 4663 15 6661 21 19 10 16609 12 13 21 13767 19265 
6 7 10 5 5 5 3775 0 4 4 17 3109 8 27 14 8438 9 11 24 24 26 15 18 
7 11 7 5305 7 7550 2 4 0 4219 1332 14 49 6 19 15 7550 15 22 11 17 12657 70 
8 5329 7259 9 4219 5 20 4 4219 0 9 2 6 12 13 14 8 7 13 14 45 12 14 
9 12 10 6980 16 34 10 17 1332 9 0 4 16 5 14 11554 12 53 9992 12 16194 14 21 
10 15 11 9 6217 7 4663 3109 14 2 4 0 8 3775 9 7 12 7 11 19 10436 21 22 
11 10 14 31 17 9 15 8 49 6 16 8 0 14 8 13 15 10110 17 18776 61 19137 20 
12 8 52 12285 65 15887 6661 27 6 12 5 3775 14 0 10 19 17 26 18 9027 21 13 42 
13 5777 19 20 16 15 21 14 19 13 14 9 8 10 0 6499 12638 5055 11 29 36 27 24 
14 3 16 30 17 68 19 8438 15 14 11554 7 13 19 6499 0 6499 7 7 8305 9 11 9388 
15 7222 20 59 82 25 10 9 7550 8 12 12 15 17 12638 6499 0 10 10 11 11 8666 11 
16 4 16 15915 35 68 16609 11 15 7 53 7 10110 26 5055 7 10 0 5055 38 7222 9 8666 
17 7944 20 39 17590 34 12 24 22 13 9992 11 17 18 11 7 10 5055 0 4747 6 3 4 
18 10 22 21 19265 19265 13 24 11 14 12 19 18776 9027 29 8305 11 38 4747 0 39 3350 8 
19 12 21778 44 36 22 21 26 17 45 16194 10436 61 21 36 9 11 7222 6 39 0 9 13 
20 14 28 21220 25 20103 13767 15 12657 12 14 21 19137 13 27 11 8666 9 3 3350 9 0 18 
21 11915 23 28 20 39 19265 18 70 14 21 22 20 42 24 9388 11 8666 4 8 13 18 0 

;param cto[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21:=
0 0 50 50 49 45 44 47 47 42 43 41 42 40 41 39 41 39 42 47 43 43 44 
1 50 0 39 42 42 41 41 46 42 43 44 49 46 51 52 48 52 54 51 52 52 56 
2 50 39 0 47 44 40 45 41 43 42 47 46 46 51 47 47 48 50 50 52 51 52 
3 49 42 47 0 38 48 41 48 41 44 43 42 46 45 50 48 47 49 50 49 51 55 
4 45 42 44 38 0 44 41 44 41 45 43 42 46 45 46 48 46 49 50 49 51 50 
5 44 41 40 48 44 0 41 39 42 40 42 45 43 46 45 45 46 52 47 50 49 50 
6 47 41 45 41 41 41 0 40 39 41 40 46 43 44 45 49 45 47 48 48 49 49 
7 47 46 41 48 44 39 40 0 41 39 41 44 42 45 44 44 49 47 50 53 48 49 
8 42 42 43 41 41 42 39 41 0 42 39 44 42 43 43 48 48 46 47 47 51 48 
9 43 43 42 44 45 40 41 39 42 0 40 44 41 49 44 43 44 46 46 48 47 48 
10 41 44 47 43 43 42 40 41 39 40 0 41 41 46 42 43 42 45 45 46 46 47 
